id,source_id,asassn_name,other_names,raj2000,dej2000,l,b,mean_vmag,amplitude,period,variable_type,class_probability,lksl_statistic,rfr_score,epoch_hjd,gdr2_id,phot_g_mean_mag,e_phot_g_mean_mag,phot_bp_mean_mag,e_phot_bp_mean_mag,phot_rp_mean_mag,e_phot_rp_mean_mag,bp_rp,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,vt,dist,allwise_id,j_mag,e_j_mag,h_mag,e_h_mag,k_mag,e_k_mag,w1_mag,e_w1_mag,w2_mag,e_w2_mag,w3_mag,e_w3_mag,w4_mag,e_w4_mag,j_k,w1_w2,w3_w4,apass_dr9_id,apass_vmag,e_apass_vmag,apass_bmag,e_apass_bmag,apass_gpmag,e_apass_gpmag,apass_rpmag,e_apass_rpmag,apass_ipmag,e_apass_ipmag,b_v,e_b_v,vector_x,vector_y,vector_z,reference,periodic,classified,asassn_discovery,created_at,updated_at,edr3_source_id,galex_id,FUVmag,e_FUVmag,NUVmag,e_NUVmag,tic_id,pm,ruwe
001c5f52-1f74-5ad4-9a22-65f2be4f4cb5,AP53422215,ASASSN-V J160643.53-351640.6,,241.68137,-35.27794,341.92025,12.41623,13.97,0.14,464.343295,SR,0.97,0.77,0.63,2457869.85104,6034848003483557888,13.20551,0.002789,14.494724,0.003278,12.095055,0.003839,2.39967,0.194,0.0143,13.6026,-4.033,0.017,-3.749,0.011,6.23857661517455,4183.67627,J160643.51-351637.6,10.338,0.024,9.396,0.024,9.121,0.023,8.993,0.024,9.142,0.02,8.928,0.036,8.539,0.372,1.217,-0.149,0.389,53422215,14.141,0.032,15.901,0.061,15.036,0.048,13.454,0.034,12.489,0.056,1.76,0.432,-0.387260354424484,-0.718660624912047,-0.577543352565026,The ASAS-SN Catalog of Variable Stars: V,true,true,true,2019-04-16 09:56:52 UTC,2021-08-05 17:20:33 UTC,EDR3 6034848003483558016,,,,,,TIC 94359749,5.507,1.112
001c91f5-02c8-582d-82d4-5b32036afac7,AP43375030,ASASSN-V J080246.54-443952.7,,120.69392,-44.66465,259.88841,-7.27735,14.5,0.14,1.3306158,ROT,0.999,0.61,0.7,2458148.81132,5520692898627487744,14.451188,0.003646,15.08417,0.009163,13.676888,0.00753,1.407282,2.6425,0.0156,169.9165,-9.096,0.018,4.285,0.019,127.440862348,373.974396,J080246.46-443952.1,12.627,0.026,12.066,0.03,11.932,0.024,11.778,0.022,11.832,0.021,12.058,0.272,9.086,,0.695,-0.054,2.972,43375030,14.678,0.027,15.839,0.006,15.234,0.063,14.279,0.012,13.904,0.084,1.161,0.399,-0.363050233928717,0.611594110191735,-0.702956024245531,The ASAS-SN Catalog of Variable Stars: V,true,true,true,2019-04-16 09:56:19 UTC,2021-08-05 17:23:42 UTC,EDR3 5520692898627488128,,,,,,TIC 79801058,10.055,1.002
001cce52-fd20-4be6-9c80-a845a78f9153,58573957,ASASSN-V J183045.99-573551.4,SSS_J183046.0-573551          ,277.69162,-57.5976,337.53844,-20.00075,13.96,0.17,0.5964778,EW,0.995,1.0,0.92,2456909.54466,,13.931011,0.003786,14.143642,0.00823,13.572094,0.009728,0.571548,0.465,0.0166,27.9558,-0.208,0.012,-5.962,0.011,14.3837270347425,1965.90723,,,,,,,,,,,,,,,,,,,58573957,14.031,0.041,14.449,0.069,14.22,0.057,13.996,0.017,13.846,0.039,0.418,0.101,,,,The ASAS-SN Catalog of Variable Stars: IX,true,,false,2021-07-28 14:25:20 UTC,2021-08-05 17:50:39 UTC,EDR3 6648054846691946880,GALEX J183045.9-573551,21.7985,0.4075,17.7074,0.0312,TIC 119724609,5.966,0.951
001cf2c3-c370-530a-8c62-decf69bf7732,J070008.91-061039.7,ASASSN-V J070008.91-061039.8,,105.03711,-6.17771,219.42096,-0.88517,15.14,0.14,26.9860417,SR,0.987,0.85,0.59,2457737.03147,3100908770734674944,13.365343,0.002833,15.411245,0.0045,12.049597,0.004056,3.361649,0.1839,0.0239,7.681,-0.257,0.023,1.341,0.022,1.49730433165842,4322.44678,J070008.90-061039.7,9.573,0.024,8.333,0.053,7.88,0.024,7.619,0.026,7.721,0.019,7.503,0.018,7.291,0.117,1.693,-0.102,0.212,,,,,,,,,,,,,1.253,-0.257937993162374,0.960149739543243,-0.10761258912604,The ASAS-SN Catalog of Variable Stars: IX,true,true,true,2019-09-30 17:16:05 UTC,2021-08-10 17:46:30 UTC,EDR3 3100908770734674688,,,,,,TIC 124868591,1.366,1.171
001cfd5a-0611-5369-bbaf-e847733fc134,298228,ASASSN-V J180003.70-282453.7,OGLE BUL-SC21 V7303,270.01542,-28.41492,2.05936,-2.46297,14.23,0.16,,ROT:,0.491,0.77,0.86,2457890.81744,4062675879708742656,17.106407,0.004561,,,,,,0.0348,0.1323,0.2633,-6.328,0.139,-3.034,0.093,4.07109396221834,8170.80371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.935,0.000236706274984303,-0.879524657161191,-0.475853256178445,The ASAS-SN Catalog of Variable Stars: II,false,true,false,2019-04-16 09:53:37 UTC,2021-08-05 16:52:12 UTC,EDR3 4062675879708742400,,,,,,TIC 1604178350,7.018,1.24
001d0173-fe56-57ae-b7e8-0d58af79bebb,AP28221266,ASASSN-V J175531.19-203928.1,,268.87995,-20.6578,8.26224,2.31027,16.26,0.49,54.8710385,SR,0.994,0.84,0.55,2457853.75258,4071070827078244864,13.817932,0.00292,15.702183,0.006219,12.533575,0.004345,3.168608,0.0755,0.022,3.4294,-1.677,0.031,-4.854,0.021,3.66807754827682,6636.2832,J175531.12-203927.2,10.165,0.026,8.985,0.034,8.594,0.019,8.176,0.02,8.341,0.017,8.207,0.03,7.563,0.157,1.571,-0.165,0.644,28221266,15.613,0.139,17.881,0.163,16.833,0.071,14.579,0.042,13.12,0.086,2.268,1.466,-0.0182905034375039,-0.935525339334422,-0.352785766361424,The ASAS-SN Catalog of Variable Stars: V,true,true,true,2019-04-16 09:56:40 UTC,2021-08-05 16:54:30 UTC,EDR3 4071070827078244864,,,,,,TIC 223810401,5.136,0.976
001d31c4-3d59-5f05-93c3-4037544e147a,AP552425,ASASSN-V J030000.76+395521.1,ATLASJ045.0031+39.9225,45.00316,39.92252,148.12846,-16.57634,16.56,0.63,0.3306252,EW,0.994,0.44,0.79,2456900.01891,143684699210704640,16.303465,0.011989,16.708515,0.037281,15.67257,0.034626,1.035945,0.4214,0.0549,7.6717,-0.123,0.059,3.242,0.054,7.55453818457028,2035.6156,J030000.73+395521.1,14.903,0.037,14.36,0.055,14.388,0.069,14.424,0.132,14.418,0.051,12.32,,9.095,,0.515,0.006,3.225,552425,16.298,0.0,17.21,0.0,16.633,0.0,16.041,0.084,15.764,0.0,0.912,0.108,0.542259453675687,0.542319270800123,0.641751114855415,The ASAS-SN Catalog of Variable Stars: IX,true,true,false,2019-08-02 14:23:05 UTC,2021-08-10 17:49:17 UTC,EDR3 143684699210704640,,,,,,TIC 186600158,3.244,1.048
001d396c-d87d-588e-8506-9c5fdbbe7839,588508,ASASSN-V J115315.86-383310.4,SSS_J115315.8-383310,178.31608,-38.55289,290.62088,22.92419,17.26,0.74,,VAR,0.392,0.98,0.83,2457768.77714,3460235935257045504,18.09626,0.007466,18.324219,0.03839,17.584688,0.019733,0.739531,-0.1549,0.128,-1.2103,-0.494,0.13,-0.654,0.097,0.572318445517708,6788.05078,J115316.01-383308.7,16.569,0.13,16.565,0.231,15.412,,16.736,0.081,17.234,,12.554,,9.249,,1.157,-0.498,3.305,,,,,,,,,,,,,0.133,-0.78169545362283,0.0229806060262941,-0.623236800527746,The ASAS-SN Catalog of Variable Stars: II,false,true,false,2019-04-16 09:53:26 UTC,2021-08-05 17:26:23 UTC,EDR3 3460235935257045504,GALEX J115315.9-383308,,,21.5407,0.4071,TIC 278057885,0.819,1.009
001d39b0-a46b-5803-becf-3dc628e6bddc,AP2842886,ASASSN-V J000743.63+501712.8,ATLASJ001.9319+50.2869,1.93179,50.28689,115.81922,-11.98022,14.62,0.56,1.5537088,EA,1.0,0.11,0.95,2457686.94721,393778308397569920,14.433514,0.002777,14.697113,0.00312,14.010466,0.003881,0.686647,0.3682,0.0204,18.0718,-5.51,0.018,-2.748,0.017,11.804476538562,2472.39404,J000743.67+501712.9,13.511,0.023,13.331,0.03,13.252,0.031,13.293,0.024,13.293,0.026,12.416,,9.169,,0.259,0.0,3.247,2842886,14.463,0.147,15.004,0.063,14.722,0.027,14.381,0.068,14.318,0.133,0.541,0.138,0.638580715819764,0.0215386108285384,0.769253376740522,The ASAS-SN Catalog of Variable Stars: IX,true,true,false,2019-08-02 14:23:05 UTC,2021-08-10 17:43:06 UTC,EDR3 393778308397569920,,,,,,TIC 201702125,6.157,0.982
001d4011-f7ca-5c3b-8f0f-be22ddd1d352,447883,ASASSN-V J045631.22-674924.0,,74.13032,-67.82339,278.87413,-35.71313,14.92,0.38,,GCAS,0.263,0.3,0.92,2457848.55087,4661570349915369472,15.037957,0.005703,15.055047,0.011914,14.951052,0.016822,0.103995,-0.0379,0.019,-1.9885,1.721,0.024,-0.131,0.025,0.334787353193758,24436.8203,J045631.23-674923.8,15.418,0.063,15.307,0.137,15.224,0.187,14.129,0.026,13.944,0.029,13.116,0.409,8.847,0.23,0.194,0.185,4.269,36294698,15.08,0.093,15.099,0.096,15.022,0.132,15.158,0.082,15.374,0.139,0.019,0.29,0.103217290022754,0.363076224782316,-0.926024754549348,The ASAS-SN Catalog of Variable Stars: I,false,true,true,2019-04-16 09:53:00 UTC,2021-08-05 16:35:23 UTC,EDR3 4661570349915369984,,,,,,TIC 30273113,1.726,0.971
001d6c97-121a-561e-8d35-0f9819b1075e,AP44103186,ASASSN-V J062344.15-390238.8,,95.93395,-39.04411,246.82325,-21.75135,14.77,0.18,2.8873607,ROT,0.999,0.77,0.59,2457738.75139,5573744265938704384,14.354225,0.003451,14.998583,0.007834,13.569616,0.007208,1.428967,0.6984,0.0145,48.1766,1.811,0.017,-3.539,0.019,13.677101315854,1377.7522,J062344.14-390238.7,12.487,0.024,11.86,0.022,11.649,0.021,11.526,0.023,11.499,0.022,11.243,0.117,8.862,,0.838,0.027,2.381,44103186,14.699,0.092,15.841,0.125,15.265,0.134,14.336,0.147,13.948,0.129,1.141,0.109,-0.0802927295203971,0.772499682021652,-0.629918501762419,The ASAS-SN Catalog of Variable Stars: V,true,true,true,2019-04-16 09:56:56 UTC,2021-08-05 18:05:41 UTC,EDR3 5573744265938704384,,,,,,TIC 237400364,3.976,1.01
001d75e8-31c1-5311-8342-f3c460229f10,499063,ASASSN-V J175951.18-290039.5,OGLE-BLG-LPV-165754,269.96325,-29.01097,1.51845,-2.71867,14.08,0.08,,L,0.994,0.95,0.81,2458342.54377,4062361011327154176,15.198841,0.007068,18.06039,0.041682,13.589258,0.015875,4.471132,0.0759,0.0912,0.8324,-3.0,0.106,-6.783,0.071,3.89910996231728,9016.33594,J175951.17-290039.6,10.08,0.026,9.011,0.027,8.464,0.023,8.24,0.024,8.359,0.021,7.581,0.022,6.96,0.109,1.616,-0.119,0.621,,,,,,,,,,,,,0.827,-0.000560928928367739,-0.874526688297208,-0.484977068338963,The ASAS-SN Catalog of Variable Stars: II,false,true,false,2019-04-16 09:54:26 UTC,2021-08-05 16:43:41 UTC,EDR3 4062361011327153920,,,,,,TIC 137670301,7.417,1.051
001d7a2f-7024-50d3-8fd8-c8726c6d3141,110668,ASASSN-V J083135.91+270329.8,CSS_J083135.9+270329,127.89961,27.05828,196.82555,32.88023,16.56,0.84,0.6029973,RRAB,0.996,0.36,0.81,2458130.09551,703823922954837888,16.483702,0.011031,16.732489,0.03604,16.070864,0.023706,0.661625,0.0136,0.0582,0.2334,-0.595,0.059,-3.496,0.041,3.05668786034305,5499.19629,J083135.92+270329.8,15.566,0.054,15.315,0.082,15.384,0.141,15.134,0.04,15.056,0.09,12.407,,8.856,,0.182,0.078,3.551,,,,,,,,,,,,,0.043,-0.547043384455055,0.702718037258021,0.454896576856975,The ASAS-SN Catalog of Variable Stars: II,true,true,false,2019-04-16 09:54:34 UTC,2021-08-05 17:17:08 UTC,EDR3 703823922954837888,GALEX J083135.9+270330,,,20.311,0.1395,TIC 3714059,3.546,1.022
