ASASSN-V J012519.21+525549.4
HJD MAG MAG_ERR FLUX FLUX_ERR
2458317.05925 14.558 0.03065 5.764 0.163
2457942.03115 14.52 0.03002 5.972 0.165
2457757.75769 14.593 0.03126 5.582 0.161
2457388.74101 14.576 0.03096 5.669 0.161
2457670.83243 14.574 0.03092 5.679 0.162
2457249.0113 14.581 0.03105 5.643 0.161
2457608.97862 14.533 0.03023 5.9 0.164
2457305.93546 14.555 0.0306 5.782 0.163
2458019.02145 14.514 0.02992 6.001 0.165
2457270.93226 14.495 0.02962 6.107 0.166
2457216.02214 14.53 0.03018 5.912 0.164
2457210.09355 14.607 0.03151 5.509 0.16
2457949.06092 14.535 0.03026 5.888 0.164
2457694.95209 14.586 0.03113 5.616 0.161
2457409.7101 14.507 0.02981 6.039 0.166
2457915.08837 14.565 0.03077 5.726 0.162
2457395.75857 14.596 0.03131 5.567 0.16
2458276.09559 14.579 0.03101 5.655 0.161
2458063.76734 14.559 0.03067 5.758 0.162
2457765.74514 14.633 0.03198 5.377 0.158
2457189.09906 14.518 0.02999 5.981 0.165
2457046.72659 14.534 0.03025 5.892 0.164
2457998.02387 14.603 0.03144 5.528 0.16
2458336.12511 14.576 0.03096 5.669 0.161
2457686.9813 14.531 0.0302 5.91 0.164
2458393.92481 14.547 0.03046 5.821 0.163
2457637.05852 14.563 0.03074 5.737 0.162
2457222.05084 14.541 0.03036 5.853 0.164
2457910.10611 14.567 0.0308 5.716 0.162
2457012.78807 14.517 0.02997 5.987 0.165
2457925.10271 14.509 0.02984 6.032 0.166
2457671.97691 14.549 0.0305 5.814 0.163
2458309.11994 14.605 0.03147 5.521 0.16
2458287.09034 14.534 0.03025 5.892 0.164
2457639.90119 14.596 0.03131 5.564 0.16
2457986.04393 14.566 0.03079 5.721 0.162
2457657.00079 14.527 0.03013 5.932 0.164
2457297.96272 14.603 0.03144 5.531 0.16
2458366.0095 14.585 0.03112 5.621 0.161
2457995.89048 14.512 0.02989 6.012 0.165
2457747.75047 14.532 0.03022 5.904 0.164
2457243.03168 14.561 0.0307 5.75 0.162
2458380.82654 14.533 0.03023 5.897 0.164
2457996.95012 14.572 0.03089 5.692 0.162
2458082.76465 14.536 0.03028 5.884 0.164
2457715.74145 14.618 0.03171 5.454 0.159
2457195.09531 14.545 0.03043 5.832 0.163
2458076.8424 14.638 0.03207 5.354 0.158
2457324.83817 14.524 0.03008 5.948 0.165
2457735.84792 14.533 0.03023 5.899 0.164
2457653.04492 14.535 0.03026 5.888 0.164
2457048.7278 14.536 0.03028 5.881 0.164
2458270.11503 14.722 0.03371 4.957 0.154
2457969.96183 14.553 0.03057 5.789 0.163
2457588.00385 14.632 0.03196 5.386 0.158
2457229.98349 14.519 0.03 5.977 0.165
2457583.02719 14.542 0.03038 5.851 0.164
2457021.76979 14.547 0.03046 5.821 0.163
2458343.96819 14.574 0.03092 5.682 0.162
2458023.90497 14.538 0.03031 5.869 0.164
2457919.1163 14.387 0.02802 6.748 0.174
2457274.96565 14.525 0.0301 5.943 0.165
2458004.94679 14.554 0.03058 5.787 0.163
2457384.7318 14.571 0.03087 5.694 0.162
2458373.09592 14.506 0.02979 6.044 0.166
2458034.03204 14.534 0.03025 5.895 0.164
2457401.734 14.553 0.03057 5.791 0.163
2457998.86933 14.623 0.0318 5.429 0.159
2457275.87894 14.567 0.0308 5.715 0.162
2457626.9543 14.534 0.03025 5.891 0.164
2457363.85285 14.525 0.0301 5.94 0.164
2457368.83614 14.58 0.03103 5.648 0.161
2458283.09768 14.572 0.03089 5.691 0.162
2457706.84565 14.591 0.03122 5.594 0.161
2457391.7649 14.561 0.0307 5.748 0.162
2457342.88675 14.571 0.03087 5.693 0.162
2457265.02082 14.57 0.03086 5.702 0.162
2458097.85899 14.563 0.03074 5.738 0.162
2458064.90537 14.51 0.02986 6.026 0.166
2457676.00148 14.61 0.03156 5.493 0.159
2457406.73044 14.475 0.02931 6.224 0.168
2457746.75403 14.526 0.03012 5.934 0.164
