ASASSN-V J000122.81-194327.0
HJD MAG MAG_ERR FLUX FLUX_ERR
2458090.59783 16.756 99.99 0.19 0.152
2458054.51507 17.211 99.99 0.337 0.1
2457284.84894 16.631 0.12372 0.854 0.097
2458337.03488 17.713 99.99 0.283 0.063
2457701.71974 17.167 99.99 0.037 0.104
2457589.89242 16.995 99.99 0.134 0.122
2457200.78111 17.504 99.99 0.248 0.076
2456979.83216 17.02 99.99 0.363 0.119
2458364.69297 17.354 99.99 0.405 0.088
2458032.71102 16.41 99.99 0.427 0.209
2457557.82554 17.024 99.99 0.561 0.119
2457295.55873 16.561 99.99 0.278 0.182
2456993.77499 16.903 99.99 0.328 0.133
2456844.80729 17.282 99.99 0.309 0.094
2458053.503 17.21 99.99 0.339 0.1
2457696.82849 17.196 99.99 0.175 0.102
2456652.69539 16.507 99.99 0.632 0.192
2458033.912 16.821 99.99 0.215 0.143
2457983.84017 17.723 99.99 0.204 0.062
2457910.82759 16.745 99.99 0.561 0.154
2457550.81003 17.398 99.99 0.166 0.084
2457384.54069 17.474 99.99 0.195 0.079
2457251.68436 17.278 99.99 0.158 0.094
2457917.83199 16.925 99.99 0.421 0.13
2457718.61199 17.133 0.15678 0.538 0.078
2457000.6972 17.169 99.99 0.373 0.104
2456830.10647 16.597 99.99 0.555 0.176
2457981.05525 17.066 99.99 0.407 0.114
2457687.85522 17.215 99.99 0.191 0.1
2457627.02645 17.146 99.99 0.432 0.106
2456999.56775 16.855 99.99 0.525 0.139
2456860.04021 17.024 99.99 0.106 0.119
2458369.87085 16.863 99.99 0.603 0.138
2458001.93345 16.657 99.99 0.616 0.167
2458363.0109 17.043 99.99 0.453 0.117
2458071.79149 17.293 99.99 0.375 0.093
2457716.66258 17.449 0.17147 0.402 0.063
2457690.84229 17.168 99.99 0.344 0.104
2457304.68223 17.848 0.17653 0.278 0.045
2457678.87805 16.863 99.99 0.22 0.138
2457659.61504 17.334 99.99 0.207 0.089
2457530.92446 16.961 99.99 0.56 0.126
2457529.8811 16.848 99.99 -0.082 0.14
2457204.7479 16.288 99.99 0.996 0.234
2456913.94858 16.544 99.99 0.502 0.185
2456615.74279 16.602 99.99 0.089 0.175
2458364.68925 17.017 99.99 0.221 0.12
2458347.65587 17.753 99.99 0.254 0.061
2457681.87398 17.385 99.99 0.311 0.085
2457664.65412 17.599 99.99 0.057 0.07
2457638.98877 17.074 99.99 0.108 0.114
2457276.83757 17.342 99.99 0.346 0.089
2457223.06128 17.699 99.99 0.31 0.064
2458350.64103 17.364 0.16828 0.435 0.067
2458121.55255 16.683 99.99 -0.035 0.163
2457983.05028 16.953 99.99 0.053 0.127
2457682.57119 17.599 0.17543 0.35 0.056
2457668.85859 17.491 99.99 0.348 0.077
2457657.87598 17.674 99.99 0.226 0.065
2457162.88392 17.445 99.99 0.348 0.081
2458284.11721 16.959 99.99 0.267 0.126
2458037.78226 17.04 99.99 0.067 0.117
2457998.91044 16.349 99.99 0.323 0.221
2457672.82512 17.103 99.99 0.319 0.111
2456976.60095 17.646 99.99 0.32 0.067
2458431.80587 17.467 99.99 0.222 0.079
2458335.08671 17.255 99.99 -0.097 0.096
2457903.86895 17.168 0.15875 0.521 0.076
2457186.82832 16.998 99.99 0.171 0.122
2457145.91482 16.621 99.99 0.656 0.172
2457958.11694 17.126 99.99 0.445 0.108
2457337.65748 17.775 99.99 0.26 0.06
2456872.77933 17.533 99.99 0.33 0.074
2458055.51952 17.219 99.99 0.393 0.099
2458013.96694 17.635 99.99 0.181 0.068
2457871.92498 16.072 99.99 0.851 0.286
2457373.57797 17.61 99.99 0.335 0.069
2457258.73986 17.599 99.99 0.239 0.07
2456948.64318 17.644 99.99 0.323 0.067
2456838.82578 17.541 99.99 0.278 0.074
2457727.55705 17.515 99.99 0.123 0.076
2457555.80964 17.499 99.99 0.209 0.077
2457173.83536 16.667 99.99 0.18 0.165
2457166.85312 17.287 99.99 0.285 0.093
2457021.54384 16.899 99.99 0.124 0.133
2456978.58521 17.434 99.99 0.403 0.082
2458416.84677 16.777 99.99 0.048 0.149
2458297.10459 16.577 99.99 -0.263 0.179
2457982.05089 17.834 99.99 0.149 0.056
2457711.76898 17.578 99.99 0.124 0.071
2457637.59077 16.817 0.13664 0.72 0.091
2457371.61191 17.782 0.17695 0.296 0.048
2457184.83261 17.043 99.99 0.584 0.117
2456885.97464 17.228 99.99 0.146 0.099
2458328.90287 16.579 99.99 0.308 0.179
2457982.69563 17.702 99.99 0.272 0.064
2457944.74859 16.759 99.99 0.684 0.152
2457943.06954 16.97 99.99 0.259 0.125
2457555.80205 17.137 99.99 0.293 0.107
2457311.71534 17.552 99.99 0.006 0.073
2457276.98303 17.883 99.99 0.189 0.054
2456972.78452 17.385 99.99 0.267 0.085
2457380.55211 17.063 99.99 0.258 0.115
2457151.90198 16.41 99.99 -0.04 0.209
2458079.68416 17.431 99.99 0.103 0.082
2458015.96204 17.219 99.99 0.268 0.099
2457728.55679 17.597 99.99 0.237 0.07
2457362.61958 17.315 99.99 0.202 0.091
2456827.10328 16.719 99.99 0.551 0.158
2457911.81618 16.827 99.99 0.224 0.143
2457602.72479 17.568 99.99 0.24 0.072
2457139.90934 16.886 99.99 0.349 0.135
2456886.98714 16.74 99.99 0.638 0.154
2457916.82042 16.746 99.99 0.134 0.154
2457027.53702 16.217 99.99 -0.232 0.25
2458323.04096 17.639 99.99 0.172 0.068
2457680.85393 17.29 99.99 0.446 0.093
2457629.77988 17.673 99.99 0.284 0.065
2457589.76376 16.798 99.99 -0.023 0.146
2457271.9943 17.582 99.99 0.319 0.071
2457266.72511 16.602 99.99 0.35 0.176
2456889.0158 17.489 99.99 0.284 0.078
2458445.76367 16.639 99.99 -0.117 0.17
2458423.83237 17.337 99.99 0.438 0.089
2458104.69576 17.27 99.99 0.126 0.095
2457959.82292 17.441 99.99 0.372 0.081
2457937.76825 17.079 0.15362 0.565 0.08
2457699.67492 16.831 0.1376 0.711 0.09
2457547.83219 16.994 0.14837 0.611 0.083
2457313.62613 17.382 0.169 0.428 0.067
2457276.9831 17.133 99.99 0.023 0.108
2456817.11963 16.239 99.99 1.023 0.245
2456658.73921 17.054 99.99 0.488 0.116
2458408.80758 17.224 99.99 0.438 0.099
2458105.57707 17.239 99.99 0.247 0.098
2458077.6636 17.356 99.99 0.411 0.088
2458073.78812 17.107 99.99 0.438 0.11
2458054.50364 17.36 99.99 0.146 0.087
2457336.65357 17.158 0.1582 0.526 0.077
2456873.66201 17.297 99.99 0.343 0.092
2458298.10123 16.926 99.99 0.648 0.13
2457764.52892 16.519 0.1159 0.947 0.101
2457697.82888 16.973 99.99 0.269 0.125
2457327.65236 17.61 0.17563 0.347 0.056
2457213.11296 17.154 99.99 0.232 0.106
2457181.88572 16.674 99.99 0.386 0.164
2456885.99255 17.24 99.99 0.252 0.097
2457735.59197 16.791 99.99 0.209 0.147
2457695.83632 17.616 99.99 0.333 0.069
2457377.59466 17.104 99.99 0.023 0.11
2456973.721 17.56 99.99 0.238 0.073
2456926.67987 16.231 99.99 -1.071 0.247
2458087.63507 16.528 99.99 0.557 0.188
2458045.84415 17.681 99.99 0.317 0.065
2457671.78626 17.084 0.15392 0.563 0.08
2457608.79921 17.544 99.99 0.163 0.074
2457353.64593 16.72 99.99 0.511 0.157
2457160.8788 17.062 99.99 0.148 0.115
2458408.80783 17.322 99.99 0.386 0.09
2457740.57816 17.636 99.99 0.286 0.068
2457269.607 17.461 99.99 0.375 0.08
2458365.86912 16.557 0.11855 0.914 0.1
2458070.80293 17.706 99.99 0.151 0.063
2458048.86037 17.419 99.99 0.232 0.083
2457670.89528 17.208 99.99 0.474 0.1
2457378.56729 16.838 99.99 0.106 0.141
2457357.68921 16.563 99.99 0.371 0.182
2457286.72265 16.859 99.99 0.495 0.138
2456972.81757 17.64 99.99 0.329 0.067
2458111.58566 17.054 0.15211 0.578 0.081
2457755.55942 17.494 99.99 0.318 0.077
2456985.59145 17.283 99.99 0.338 0.094
2456827.1036 17.29 99.99 0.411 0.093
2458370.91747 17.302 99.99 0.008 0.092
2458354.67754 16.614 99.99 0.317 0.173
2457957.70086 17.296 99.99 0.03 0.093
2457696.7935 17.806 99.99 0.213 0.058
