ASASSN-V J001244.89-080209.4
HJD MAG MAG_ERR FLUX FLUX_ERR
2457546.85348 16.642 0.12246 0.869 0.098
2457276.58436 16.329 0.10581 1.084 0.106
2457023.53803 16.619 99.99 0.659 0.173
2456915.02544 16.443 0.11099 1.011 0.103
2457941.93778 16.541 0.12044 0.892 0.099
2457929.05921 16.437 0.11024 1.021 0.104
2457690.89272 16.726 0.13071 0.779 0.094
2457615.90947 15.998 99.99 1.173 0.306
2457612.78843 16.487 0.11168 1.001 0.103
2457325.59434 16.455 0.10948 1.032 0.104
2457173.85764 16.724 0.1282 0.805 0.095
2456822.08195 16.228 0.09661 1.233 0.11
2458347.80491 16.721 0.12799 0.808 0.095
2457662.58465 16.333 0.10608 1.081 0.106
2457186.82482 16.26 0.09648 1.235 0.11
2456970.846 16.261 0.09843 1.201 0.109
2456929.67889 16.776 0.13182 0.768 0.093
2456897.92398 16.249 0.09765 1.214 0.109
2456887.98935 16.463 0.11202 0.997 0.103
2458017.89967 16.783 0.13465 0.739 0.092
2457652.80829 16.414 0.11161 1.003 0.103
2457315.82384 16.197 0.0943 1.274 0.111
2457031.73152 16.996 0.1485 0.61 0.083
2456932.90724 16.246 0.09778 1.212 0.109
2456830.059 16.44 0.11079 1.013 0.103
2458034.94197 16.218 0.09597 1.243 0.11
2457981.81615 16.495 0.11722 0.93 0.1
2457946.78699 16.657 0.12855 0.802 0.095
2457678.88731 15.906 0.07697 1.665 0.118
2457534.87419 16.419 99.99 0.822 0.208
2457272.02003 16.257 0.09817 1.205 0.109
2456956.63738 16.507 0.11306 0.983 0.102
2458075.72193 16.378 0.10622 1.078 0.105
2458054.51176 16.246 0.10027 1.17 0.108
2458025.97502 16.503 0.11514 0.956 0.101
2457682.65149 16.717 0.12771 0.81 0.095
2457627.08285 16.437 0.11024 1.022 0.104
2457614.6724 16.537 0.11514 0.957 0.101
2457362.77053 16.559 0.11869 0.913 0.1
2457317.90083 16.367 0.10547 1.089 0.106
2457228.95648 16.453 0.11134 1.007 0.103
2456917.05091 17.036 0.151 0.588 0.082
2458036.96796 16.091 0.0877 1.404 0.113
2457973.99427 15.988 0.08159 1.545 0.116
2457721.80086 16.49 0.11424 0.968 0.102
2457668.82293 16.3 0.10133 1.154 0.108
2457557.82099 16.762 0.13085 0.778 0.094
2457229.96689 16.378 0.10655 1.073 0.105
2458012.7235 16.384 0.10466 1.102 0.106
2457971.93825 16.374 0.10628 1.078 0.105
2457914.08263 16.735 99.99 0.76 0.155
2457608.80261 16.484 0.11147 1.005 0.103
2456821.06854 16.058 99.99 1.226 0.29
2458320.87294 16.293 0.09863 1.198 0.109
2458095.60876 16.401 0.11072 1.015 0.103
2457983.75206 16.397 0.10554 1.089 0.106
2457687.91335 16.716 0.12966 0.79 0.094
2457207.09349 16.539 0.11764 0.925 0.1
2456973.83656 16.362 0.10514 1.095 0.106
2458350.66418 16.633 0.12183 0.876 0.098
2458104.6008 16.29 0.10319 1.124 0.107
2458108.5669 16.407 0.11113 1.009 0.103
2457981.03656 16.609 0.12253 0.868 0.098
2457877.92896 15.548 99.99 1.785 0.463
2457735.78869 16.279 0.09961 1.182 0.108
2457306.62747 16.562 0.1219 0.875 0.098
2456461.04735 16.645 0.1247 0.843 0.097
2458023.91119 16.47 0.11251 0.991 0.103
2456985.81005 16.39 0.10737 1.061 0.105
2456600.8485 16.526 0.11674 0.936 0.101
2457205.77672 15.926 99.99 1.063 0.327
2456593.84623 16.256 0.09811 1.207 0.109
2458017.95694 16.604 0.12183 0.876 0.098
2457735.60819 16.355 0.10757 1.059 0.105
2457611.67896 16.369 0.10366 1.117 0.107
2457575.82653 16.494 0.11216 0.995 0.103
2458079.84409 16.643 0.12456 0.844 0.097
2457697.70558 16.545 0.11806 0.92 0.1
2457364.79337 16.542 0.1175 0.927 0.1
2457361.79323 16.38 0.10635 1.076 0.105
2457203.05135 16.402 0.10819 1.05 0.105
2457888.90116 16.139 0.09335 1.291 0.111
2457586.93058 16.194 0.09687 1.228 0.109
2457559.80232 16.221 99.99 0.941 0.249
2458070.85767 16.296 0.10073 1.163 0.108
2457915.84188 16.308 0.09961 1.181 0.108
2457332.72524 16.27 0.09713 1.223 0.109
2457718.80866 16.656 0.12582 0.83 0.096
2457653.68361 15.985 0.08393 1.488 0.115
2457383.55296 16.874 0.14338 0.656 0.087
2457710.83266 16.346 0.1044 1.105 0.106
2457611.67124 16.283 0.10272 1.131 0.107
2457311.8485 16.561 0.11918 0.907 0.099
2457242.09554 16.87 0.14024 0.686 0.089
2458092.80505 16.759 0.133 0.756 0.092
2457879.92024 16.239 0.09513 1.259 0.11
2457356.6528 16.703 0.12673 0.821 0.096
2458364.82701 16.72 0.12792 0.808 0.095
2458082.66561 16.497 0.11736 0.929 0.1
2458010.66532 16.532 0.11479 0.961 0.101
2457969.94262 16.515 0.11597 0.946 0.101
2457946.09863 16.26 0.09837 1.203 0.109
2457608.67401 16.351 0.1073 1.062 0.105
2457185.86447 16.503 0.11278 0.987 0.102
2456914.0161 16.647 0.12484 0.841 0.097
2458071.85352 16.191 0.09392 1.281 0.111
2457940.01232 16.629 0.12358 0.855 0.097
2457705.78779 15.944 0.07937 1.601 0.117
2457550.84214 16.257 0.09629 1.238 0.11
2457547.8652 16.359 0.10299 1.127 0.107
2457355.70906 16.697 0.12869 0.8 0.095
2457334.72204 16.562 0.1219 0.875 0.098
2458342.85604 16.426 0.1075 1.059 0.105
2457666.61851 16.419 0.11196 0.998 0.103
2457641.78435 16.576 0.11785 0.923 0.1
2457278.8327 16.401 0.11072 1.015 0.103
2457181.10982 16.347 0.10446 1.105 0.106
2457181.1062 16.686 0.12757 0.812 0.095
2457146.91367 15.932 99.99 1.527 0.325
2456914.01899 16.434 0.11037 1.019 0.103
2456831.05586 16.52 0.11597 0.946 0.101
2457166.8824 16.262 0.09661 1.232 0.11
2457027.53532 15.675 99.99 0.051 0.412
2456895.13001 16.341 0.10373 1.116 0.106
2457916.82737 16.286 0.10292 1.129 0.107
2457664.78734 16.519 0.11389 0.972 0.102
2457600.07697 16.532 0.11716 0.931 0.1
2456951.64975 16.514 0.11354 0.977 0.102
2456831.06208 16.376 0.10642 1.075 0.105
2456476.0668 16.295 0.10067 1.164 0.108
2458122.53382 16.722 0.13307 0.755 0.092
2458088.65142 16.556 99.99 0.465 0.183
2457695.87539 16.479 0.11348 0.978 0.102
2457606.77033 16.436 0.10819 1.05 0.105
2457560.84021 16.66 99.99 0.666 0.166
2457267.67045 16.611 0.1203 0.893 0.099
2457244.03176 16.316 0.10206 1.141 0.107
2457906.10101 16.357 0.1048 1.1 0.106
2457672.75657 16.089 0.08788 1.401 0.113
2457337.63027 16.376 0.109 1.038 0.104
2457336.70374 16.541 0.12044 0.892 0.099
2457302.75387 16.342 0.10186 1.145 0.107
2457203.78006 16.212 0.09341 1.29 0.111
2457004.77613 16.631 0.12372 0.854 0.097
2456989.80316 16.404 0.10832 1.048 0.104
2458020.91692 16.248 0.09759 1.215 0.109
2458008.01913 16.206 0.0952 1.257 0.11
2457957.89331 16.562 0.1219 0.875 0.098
2457602.69728 16.499 0.1175 0.927 0.1
2457357.63019 16.8 0.13348 0.751 0.092
2457339.64481 16.459 0.10976 1.028 0.104
2457297.76691 16.451 0.10921 1.036 0.104
2458037.94393 16.67 0.1268 0.82 0.096
2457760.53375 16.408 0.1112 1.008 0.103
2457683.56704 16.654 0.12834 0.804 0.095
2457673.76728 16.577 0.11995 0.898 0.099
2456918.93326 16.374 0.10595 1.082 0.105
2456889.10372 16.455 0.11182 1.0 0.103
2457639.0227 16.505 0.11528 0.955 0.101
2457354.59217 17.059 0.15499 0.554 0.079
2457331.70061 16.627 0.12645 0.824 0.096
2457235.72152 16.045 99.99 1.033 0.293
2457148.90992 16.458 0.10969 1.029 0.104
2457000.77673 16.171 0.09266 1.305 0.111
2458103.60073 16.56 0.11674 0.936 0.101
2458036.93294 16.686 0.12792 0.808 0.095
2457907.09762 16.408 0.10825 1.049 0.104
2457715.68954 16.261 0.09655 1.233 0.11
2457377.59109 16.433 0.11292 0.986 0.102
2457371.6008 16.362 0.10319 1.124 0.107
2457277.84681 16.536 0.12009 0.896 0.099
2457989.06154 16.602 0.12204 0.873 0.098
2457958.73025 16.329 0.101 1.158 0.108
2457681.59257 16.517 0.11876 0.912 0.1
2457650.6981 15.741 0.07049 1.863 0.121
2457617.66557 16.632 99.99 0.706 0.171
2457175.85434 16.197 0.09247 1.308 0.111
2457728.54467 16.475 0.11583 0.948 0.101
2457707.84498 16.759 99.99 0.621 0.152
2457670.92976 16.572 0.1196 0.902 0.099
2456967.73422 16.391 0.10744 1.061 0.105
2456918.93031 16.59 0.12121 0.883 0.098
2458083.65311 16.546 0.11576 0.948 0.101
2457998.0513 16.428 0.10996 1.025 0.104
2457960.79244 16.281 0.09785 1.211 0.109
2457701.78135 16.198 0.09437 1.273 0.111
2457669.85744 16.604 0.12218 0.872 0.098
2457606.68587 16.862 0.14258 0.663 0.087
2457004.78028 16.473 0.11306 0.983 0.102
2456862.73813 16.249 0.09578 1.248 0.11
2458062.86735 16.517 0.11611 0.945 0.101
2457877.91372 16.313 0.10473 1.1 0.106
2457751.72967 16.438 0.11031 1.021 0.104
2457341.67679 16.602 0.11967 0.901 0.099
2457257.7591 16.352 0.10252 1.134 0.107
2456902.95111 16.383 0.10689 1.068 0.105
2456592.86025 16.368 0.10554 1.088 0.106
2457934.82406 16.381 0.10935 1.034 0.104
2457728.52302 16.004 0.08085 1.564 0.116
2457390.71928 16.633 0.12386 0.853 0.097
2457288.84623 16.325 0.10554 1.088 0.106
2458053.51937 16.418 0.10696 1.067 0.105
2457974.68523 16.429 99.99 0.918 0.206
2457710.85223 16.276 0.09941 1.184 0.108
2457696.86749 16.468 0.11237 0.993 0.103
2457667.64002 16.251 0.0959 1.245 0.11
2457561.90543 16.425 0.10744 1.061 0.105
2457267.60462 16.054 99.99 0.28 0.291
2457247.84624 16.553 0.11625 0.943 0.101
2458007.75885 16.193 0.09222 1.313 0.111
2457752.55737 16.258 0.10106 1.157 0.108
2457687.89782 16.565 0.11946 0.904 0.099
2457378.58393 16.451 0.10921 1.036 0.104
2457363.594 16.167 0.09513 1.259 0.11
2456919.93448 16.487 0.11368 0.975 0.102
2456897.97315 16.391 0.10744 1.061 0.105
2456860.03668 16.523 0.11618 0.943 0.101
2458101.77702 16.305 0.10133 1.153 0.107
2458077.85606 16.418 0.10894 1.039 0.104
2458024.88692 16.329 0.10326 1.123 0.107
2457906.11565 16.161 0.09234 1.311 0.111
2457529.88466 16.024 0.08625 1.436 0.114
2458010.82255 16.542 0.12051 0.891 0.099
2458009.80134 16.177 0.09121 1.332 0.112
2457662.75902 16.701 0.12659 0.822 0.096
2457370.73687 16.456 0.11189 0.998 0.103
2457334.68045 16.251 0.0959 1.245 0.11
2457031.71426 16.436 0.11051 1.018 0.104
2457000.7821 16.306 0.10172 1.146 0.107
2456823.08169 16.506 99.99 0.736 0.192
2458081.67035 16.518 0.11382 0.973 0.102
2458075.66276 16.694 0.13113 0.774 0.093
2457194.07409 16.491 0.11396 0.972 0.102
2456437.11058 16.509 99.99 0.801 0.191
2458072.78026 16.183 0.09341 1.291 0.111
2457907.10968 16.332 0.10346 1.119 0.107
2457669.82706 16.46 0.11182 1.0 0.103
2457327.70219 16.291 0.10326 1.123 0.107
2458055.51623 16.256 0.09623 1.239 0.11
2457363.76663 16.642 0.12449 0.846 0.097
2457001.78671 16.429 0.10969 1.029 0.104
2456835.08577 16.178 0.09341 1.29 0.111
2456818.10241 16.236 0.09713 1.223 0.109
2456812.09747 16.231 0.09648 1.234 0.11
2458118.71252 16.408 0.10825 1.049 0.104
2457688.64654 16.287 0.10299 1.127 0.107
2457639.70417 16.214 0.09817 1.205 0.109
2456925.69378 16.32 0.1004 1.168 0.108
2458061.7599 16.621 0.12337 0.858 0.097
2457556.09665 16.532 0.11681 0.936 0.101
2457158.89928 16.911 99.99 0.502 0.132
2456890.05353 16.584 0.12044 0.892 0.099
2458243.92488 16.275 0.09746 1.218 0.109
2458022.87412 16.528 0.11653 0.939 0.101
2457979.09009 16.813 0.13671 0.719 0.09
2457586.74354 16.081 0.08535 1.455 0.114
2457337.69724 16.238 0.09507 1.26 0.11
2457221.74704 16.207 0.0931 1.297 0.111
2458123.71007 16.445 0.11079 1.013 0.103
2458088.64791 16.039 0.08287 1.514 0.115
2458053.50747 16.497 0.11736 0.929 0.1
2457589.85452 16.114 0.09178 1.322 0.112
2457584.75324 16.431 0.10785 1.055 0.105
2457287.56157 16.563 0.12197 0.874 0.098
2457278.83848 16.53 0.11465 0.962 0.101
2458079.81321 16.309 0.10192 1.144 0.107
2457905.11902 16.292 99.99 0.51 0.233
2457603.68598 16.316 0.10493 1.097 0.106
2457585.77328 16.072 0.08917 1.373 0.113
2457390.54925 16.362 0.10805 1.051 0.104
2457295.57603 16.448 0.109 1.038 0.104
2457006.77985 16.598 0.12176 0.876 0.098
2458382.70882 16.627 0.12142 0.88 0.098
2458309.87622 16.453 0.10935 1.033 0.104
2457953.86539 16.182 0.0961 1.242 0.11
2457001.7892 16.489 0.11417 0.969 0.102
2456998.78099 16.353 0.10487 1.098 0.106
2456973.83323 16.365 0.10568 1.086 0.106
2457288.84243 16.022 0.08188 1.538 0.116
2457698.79748 16.434 0.11037 1.019 0.103
2456943.89344 16.568 0.11967 0.901 0.099
2457636.72285 16.435 0.10812 1.05 0.104
2457246.00363 16.624 0.12323 0.86 0.098
2457034.71306 16.452 0.11127 1.007 0.103
2458026.96282 16.252 0.09785 1.211 0.109
2457614.65681 16.376 0.109 1.038 0.104
2457373.6061 16.468 0.11037 1.019 0.103
2457205.03514 16.687 99.99 0.645 0.162
2457003.7722 16.484 0.11382 0.974 0.102
2456863.87278 16.702 0.12666 0.822 0.096
2456600.84595 16.418 0.10894 1.04 0.104
2457585.88634 16.39 0.10507 1.095 0.106
2457213.12175 16.204 0.09507 1.259 0.11
2456648.76215 16.289 0.1006 1.165 0.108
2457995.8653 16.411 0.10846 1.046 0.104
2457941.02324 16.572 0.11995 0.898 0.099
2457932.04552 16.121 0.08985 1.36 0.112
2457917.85732 16.142 0.08905 1.377 0.113
2457660.74294 16.633 0.12183 0.875 0.098
2457656.77493 16.509 0.1182 0.919 0.1
2457634.87285 16.37 0.10859 1.044 0.104
2457235.71385 16.44 99.99 0.967 0.204
2456943.98274 16.788 0.13465 0.739 0.092
2456931.51478 16.288 0.0983 1.203 0.109
2456900.96285 16.48 0.1132 0.982 0.102
2456894.89749 16.22 0.0961 1.241 0.11
2456887.98643 16.061 0.08619 1.438 0.114
2456531.86944 16.642 0.12449 0.845 0.097
2457645.73399 16.532 0.11981 0.899 0.099
2457631.80444 16.309 0.10446 1.104 0.106
2457360.61143 16.556 0.12149 0.88 0.098
2457231.95447 16.631 99.99 0.45 0.171
2456491.96568 16.362 0.10514 1.094 0.106
2457747.70907 16.226 0.09648 1.235 0.11
2457708.78464 16.356 0.10507 1.095 0.106
2457379.5842 16.764 0.13596 0.726 0.091
2457218.75201 16.225 0.09424 1.275 0.111
2457188.84929 16.369 0.10366 1.117 0.107
2456979.82961 16.323 0.10286 1.129 0.107
2457680.8088 16.255 0.09804 1.207 0.109
2456823.06874 16.057 0.08565 1.449 0.114
2456814.10569 17.207 99.99 0.442 0.1
2458064.89373 16.766 0.13314 0.754 0.092
2458055.50445 16.55 0.12107 0.885 0.099
2457645.61917 16.637 0.12211 0.873 0.098
2457560.10531 16.7 99.99 0.778 0.16
2457367.60307 16.922 0.14651 0.628 0.085
2457277.01665 16.486 0.11361 0.976 0.102
2457224.76869 16.4 0.10574 1.085 0.106
2457961.97542 16.584 0.12079 0.888 0.099
2457944.75219 16.261 0.10126 1.155 0.108
2457604.7318 16.297 0.09889 1.193 0.109
2457555.81321 16.424 0.1123 0.994 0.103
2456983.78281 16.438 0.11031 1.02 0.104
2456929.83754 16.579 0.12044 0.892 0.099
2456915.06446 16.237 0.09687 1.228 0.109
2456520.93929 16.175 0.09291 1.301 0.111
2457313.72846 16.541 0.12044 0.892 0.099
2457277.02429 16.471 0.11292 0.985 0.102
2457234.69504 16.158 99.99 1.169 0.264
2456981.82281 16.122 0.08991 1.359 0.112
2458073.787 16.154 0.09159 1.326 0.112
2457943.76987 16.394 99.99 0.958 0.213
2457716.6088 16.749 0.12994 0.787 0.094
2457311.78082 16.41 0.10642 1.076 0.105
2456814.09447 16.344 0.10393 1.113 0.106
2457981.77442 16.764 0.13099 0.776 0.094
2457928.05929 16.155 0.09196 1.318 0.112
2457036.69871 15.766 0.06983 1.887 0.121
2457003.77538 16.657 0.12554 0.834 0.096
2457002.78573 16.634 0.12428 0.848 0.097
2456920.80285 16.291 0.0985 1.2 0.109
2457705.80335 16.275 0.09935 1.185 0.108
2457162.89493 16.816 0.13459 0.74 0.092
2456969.83401 16.618 0.12281 0.864 0.098
