ASASSN-V J000916.24+360536.6
HJD MAG MAG_ERR FLUX FLUX_ERR
2458307.08143 14.089 0.02465 8.876 0.201
2457969.93311 14.139 0.02542 8.237 0.193
2457656.96801 14.236 0.02613 7.751 0.186
2457637.93856 14.163 0.02535 8.297 0.194
2456967.91066 14.152 0.02524 8.374 0.194
2456918.06953 14.073 0.0245 9.011 0.203
2457561.06087 14.184 0.02557 8.133 0.191
2457271.07548 14.269 0.02651 7.525 0.184
2458448.87048 14.029 0.02414 9.379 0.208
2458431.83413 14.03 0.02414 9.37 0.208
2457176.07948 14.306 0.02735 7.067 0.178
2456895.97236 14.194 0.02601 7.835 0.187
2456809.07323 14.26 0.02641 7.584 0.184
2458078.88736 14.09 0.02466 8.871 0.201
2457969.93276 14.182 0.02555 8.15 0.192
2457366.78439 14.153 0.02525 8.37 0.194
2457233.93272 14.145 0.02517 8.433 0.195
2457036.72364 14.241 0.02655 7.498 0.183
2456907.93761 14.183 0.02589 7.91 0.188
2456805.11499 14.258 0.02638 7.597 0.184
2456510.96316 14.256 0.02673 7.399 0.182
2456458.06079 14.181 0.02587 7.927 0.189
2458096.82615 14.119 0.02492 8.638 0.198
2458010.92999 14.258 0.02638 7.599 0.184
2457747.76059 14.266 0.02648 7.543 0.184
2457212.10825 14.169 0.02541 8.25 0.193
2458064.92628 14.123 0.02526 8.36 0.194
2458022.00242 14.067 0.02445 9.059 0.204
2457761.72674 14.26 0.02641 7.586 0.184
2456884.98542 14.081 0.02458 8.947 0.202
2458099.77777 14.113 0.02487 8.686 0.199
2457949.05875 14.203 0.02577 7.991 0.189
2457746.76492 14.178 0.0255 8.182 0.192
2456983.81745 14.255 0.02671 7.403 0.182
2456920.04992 14.24 0.02654 7.505 0.183
2456317.72257 14.205 0.02613 7.754 0.186
2458299.02368 14.254 0.02634 7.626 0.185
2458096.82596 14.046 0.02454 8.978 0.203
2457704.71966 14.114 0.02517 8.43 0.195
2457696.85221 14.098 0.02502 8.56 0.197
2457680.91283 14.123 0.02526 8.36 0.194
2457403.71786 14.093 0.02468 8.844 0.201
2457223.04965 14.198 0.02605 7.802 0.187
2456932.89778 14.135 0.02507 8.513 0.196
2458412.81276 14.226 0.02637 7.605 0.185
2458036.98177 14.101 0.02476 8.779 0.2
2457675.88831 14.28 0.02664 7.445 0.182
2456835.05252 14.155 0.02527 8.357 0.194
2458019.99624 14.118 0.02521 8.399 0.195
2457905.10345 14.241 0.02619 7.715 0.186
2457342.77969 14.291 0.02678 7.368 0.182
2457196.07268 14.119 0.02492 8.636 0.198
2456978.83557 14.237 0.02614 7.75 0.186
2456971.84465 14.043 0.02425 9.263 0.207
2456909.94542 14.12 0.02493 8.625 0.198
2456514.12034 14.079 0.02484 8.709 0.199
2458064.92628 14.066 0.02444 9.066 0.204
2457980.98163 14.112 0.02515 8.448 0.195
2457600.06744 14.25 0.02665 7.441 0.182
2457600.06709 14.259 0.02639 7.588 0.184
2457372.80912 14.197 0.02604 7.81 0.187
2457328.94083 14.125 0.02528 8.348 0.194
2457307.87868 14.092 0.02467 8.851 0.201
2457178.10118 14.074 0.02451 8.999 0.203
2457716.75999 14.25 0.02629 7.652 0.185
2457284.99777 14.121 0.02524 8.377 0.195
2457044.71232 14.101 0.02476 8.784 0.2
2456820.078 14.219 0.02594 7.878 0.188
2457941.01377 14.137 0.0254 8.253 0.193
2457935.02491 14.107 0.0251 8.49 0.196
2457381.79233 14.099 0.02503 8.548 0.197
2456986.80443 14.124 0.02527 8.353 0.194
2456864.01253 14.224 0.02635 7.621 0.185
2456835.0528 14.168 0.02573 8.022 0.19
2458045.82277 14.098 0.02473 8.804 0.2
2457931.0394 14.089 0.02465 8.881 0.201
2457185.09325 14.344 0.02786 6.821 0.175
2457165.11345 14.331 0.02768 6.907 0.176
2456574.89643 14.2 0.02607 7.789 0.187
2456539.09198 14.09 0.02494 8.617 0.198
2458071.78095 14.139 0.02542 8.238 0.193
2458070.78885 14.075 0.0248 8.744 0.2
2457944.98715 14.131 0.02504 8.538 0.197
2457544.08271 14.232 0.02609 7.786 0.187
2458037.9698 14.22 0.0263 7.644 0.185
2457561.06113 14.058 0.02465 8.881 0.201
2457544.08288 14.209 0.02618 7.729 0.186
2457038.71562 14.13 0.02533 8.311 0.194
2456871.0214 14.129 0.02532 8.318 0.194
2458423.9413 14.135 0.02538 8.273 0.193
2457359.79049 14.147 0.0255 8.181 0.192
2457193.04734 14.255 0.02635 7.618 0.185
2456913.95025 14.065 0.02444 9.076 0.204
2457767.71342 14.175 0.0258 7.97 0.189
2457680.91272 14.251 0.0263 7.65 0.185
2457669.89571 14.202 0.0261 7.778 0.187
2457329.90431 14.152 0.02556 8.138 0.191
2457243.98303 14.1 0.02504 8.544 0.197
2457189.06499 14.277 0.02661 7.466 0.183
2456902.95819 14.25 0.02629 7.656 0.185
2457919.05541 14.251 0.02667 7.433 0.182
2457672.76385 14.265 0.02684 7.337 0.181
2457304.83428 14.203 0.02611 7.768 0.187
2457290.94961 14.178 0.02583 7.953 0.189
2456920.93318 14.224 0.026 7.841 0.188
2456805.11512 14.271 0.02691 7.294 0.181
2458409.79941 14.202 0.0261 7.776 0.187
2458025.82409 14.112 0.02486 8.695 0.199
2458013.97782 14.213 0.02622 7.698 0.186
2457302.95357 14.218 0.02628 7.665 0.185
2457271.07579 14.206 0.02614 7.746 0.186
2457914.06918 14.204 0.02578 7.988 0.189
2456895.97203 14.136 0.02508 8.503 0.196
2456822.06297 14.096 0.02471 8.825 0.201
2457997.89394 14.084 0.0246 8.916 0.202
2457637.93886 14.175 0.0258 7.969 0.189
2456827.06827 14.09 0.02466 8.867 0.201
2458396.0264 14.151 0.02523 8.385 0.195
2457997.89426 14.102 0.02506 8.521 0.196
2457755.7578 14.076 0.02453 8.988 0.203
2457181.09845 14.183 0.02556 8.142 0.191
2456881.98338 14.237 0.0265 7.531 0.184
2458004.9799 14.076 0.02481 8.731 0.199
2457536.10191 14.208 0.02582 7.955 0.189
2457392.74814 14.283 0.02706 7.22 0.18
2457241.99188 14.266 0.02648 7.543 0.184
2458287.03701 14.119 0.02492 8.633 0.198
2457765.72818 14.149 0.02521 8.398 0.195
2457576.10237 14.188 0.02594 7.879 0.188
2457290.94937 14.177 0.02549 8.185 0.192
2457215.9854 14.126 0.02499 8.58 0.197
2457761.72644 14.233 0.02645 7.556 0.184
2457536.10205 14.207 0.02615 7.74 0.186
2457329.90429 14.139 0.02511 8.481 0.196
2457324.73169 14.146 0.02549 8.188 0.192
2458391.95701 14.265 0.02684 7.335 0.181
2458289.07607 14.186 0.02592 7.892 0.188
2457276.08626 14.281 0.02665 7.442 0.182
2456831.05134 14.095 0.0247 8.827 0.201
2456798.10763 14.1 0.02475 8.792 0.2
2458061.73709 14.257 0.02674 7.388 0.182
2457927.10073 14.135 0.02538 8.267 0.193
2456471.02118 14.111 0.02514 8.452 0.196
2458325.94129 14.211 0.0262 7.709 0.186
2458318.98989 14.121 0.02524 8.38 0.195
2458070.78889 14.132 0.02505 8.535 0.197
2457398.71615 14.121 0.02494 8.624 0.198
2457311.88399 14.114 0.02517 8.43 0.195
2457304.83411 14.23 0.02606 7.797 0.187
2457185.09304 14.308 0.02698 7.254 0.18
2456909.94571 14.125 0.02528 8.347 0.194
2458360.98636 14.094 0.02498 8.591 0.197
2458295.03166 14.076 0.02481 8.735 0.199
2457526.11423 14.157 0.02529 8.338 0.194
2457354.71777 14.164 0.02536 8.283 0.193
2456924.93212 14.162 0.02534 8.299 0.193
2456448.09627 14.092 0.02496 8.6 0.197
2458295.03139 14.129 0.02502 8.56 0.197
2457672.76369 14.207 0.02581 7.967 0.189
2457403.71754 14.131 0.02534 8.301 0.194
2457323.88965 14.077 0.02454 8.979 0.203
2457218.96192 14.112 0.02486 8.689 0.199
2456973.82505 14.262 0.02643 7.569 0.184
2456900.95859 14.184 0.0259 7.907 0.188
2456913.95053 14.117 0.0252 8.409 0.195
2456575.88095 14.215 0.02624 7.684 0.186
2458371.96564 14.209 0.02583 7.948 0.189
2457744.76701 14.099 0.02503 8.55 0.197
2457587.0702 14.084 0.02488 8.667 0.198
2457255.9149 14.242 0.0262 7.713 0.186
2458448.8691 14.082 0.02487 8.683 0.199
2458299.02396 14.242 0.02656 7.491 0.183
2457964.93831 14.153 0.02525 8.367 0.194
2458344.9851 14.083 0.02459 8.93 0.202
2458066.79937 14.08 0.02485 8.701 0.199
2458063.90127 14.087 0.02491 8.646 0.198
2457589.96076 14.161 0.02533 8.304 0.194
2457392.74843 14.248 0.02627 7.669 0.185
2457318.89584 14.09 0.02494 8.617 0.198
2457318.89575 14.126 0.02499 8.581 0.197
2457236.08073 14.257 0.02637 7.606 0.185
2457193.04759 14.224 0.02635 7.616 0.185
2456802.09847 14.137 0.02509 8.496 0.196
2456506.0135 14.088 0.02492 8.633 0.198
2458077.69151 14.025 0.0241 9.415 0.209
2458037.96964 14.215 0.0259 7.907 0.188
2457206.03335 14.074 0.02451 8.999 0.203
2456814.08076 14.291 0.02678 7.367 0.181
2456676.71302 14.261 0.02642 7.575 0.184
2457989.05608 14.169 0.02574 8.012 0.19
2457737.76988 14.274 0.02657 7.489 0.183
2457362.77904 14.239 0.02652 7.514 0.183
2456910.9459 14.214 0.02589 7.912 0.188
2458289.07583 14.214 0.02589 7.914 0.188
2458061.73707 14.287 0.02673 7.398 0.182
2458017.98566 14.264 0.02645 7.556 0.184
2457239.98088 14.041 0.02423 9.279 0.207
2456527.96221 14.195 0.02602 7.822 0.187
2456491.95578 14.284 0.02707 7.208 0.18
2457707.85725 14.043 0.02425 9.26 0.207
2457696.85219 14.108 0.02482 8.726 0.199
2457247.05888 14.108 0.02511 8.482 0.196
2456917.0795 14.123 0.02526 8.36 0.194
2456873.91592 14.117 0.0252 8.407 0.195
2456814.08094 14.305 0.02734 7.068 0.178
2458449.73737 14.064 0.02443 9.084 0.204
2458377.79528 14.266 0.02648 7.54 0.184
2456928.91421 14.127 0.025 8.571 0.197
2456920.04966 14.315 0.02707 7.211 0.18
2456907.93731 14.207 0.02581 7.963 0.189
2456896.96692 14.241 0.02655 7.503 0.183
2458380.78524 14.11 0.02484 8.712 0.199
2457939.01748 14.14 0.02543 8.23 0.193
2457559.04183 14.327 0.02763 6.929 0.176
2457369.78119 14.149 0.02521 8.4 0.195
2457328.9408 14.112 0.02486 8.69 0.199
2457204.02033 14.315 0.02747 7.004 0.177
2457008.78373 14.22 0.02595 7.87 0.188
2456904.8893 14.283 0.02668 7.425 0.182
2456882.99284 14.24 0.02618 7.723 0.186
2456855.03509 14.1 0.02504 8.538 0.197
2456532.96787 14.177 0.02582 7.955 0.189
2457980.98128 14.113 0.02487 8.687 0.199
2457381.79259 14.155 0.02527 8.357 0.194
2457744.76725 14.113 0.02487 8.684 0.199
2457667.9957 14.18 0.02585 7.934 0.189
2457223.04932 14.179 0.02552 8.174 0.192
2457206.03364 14.078 0.02483 8.718 0.199
2456485.94661 14.243 0.02657 7.487 0.183
2458431.83285 14.061 0.02467 8.856 0.201
2458338.95643 14.105 0.02479 8.75 0.2
2458048.81991 14.246 0.02624 7.683 0.186
2457735.82061 14.178 0.0255 8.18 0.192
2456474.03072 14.262 0.0268 7.355 0.181
2458371.96593 14.229 0.02641 7.587 0.184
2458022.00265 14.093 0.02497 8.597 0.197
2457614.94367 14.151 0.02523 8.385 0.195
2457228.03292 14.175 0.02547 8.199 0.192
2456797.10911 14.084 0.0246 8.922 0.202
2457202.02005 14.199 0.02573 8.019 0.19
2457038.71594 14.076 0.02453 8.988 0.203
2456811.08252 14.209 0.02583 7.948 0.189
2457979.06573 14.168 0.0254 8.256 0.193
2457298.00172 14.238 0.02615 7.743 0.186
2456939.86507 14.259 0.02676 7.376 0.182
2457232.10116 14.184 0.0259 7.903 0.188
2457023.77368 14.238 0.02615 7.736 0.186
2456899.95869 14.119 0.02492 8.637 0.198
2456444.09529 14.224 0.02635 7.62 0.185
2458330.04044 14.188 0.02561 8.104 0.191
2457757.7368 14.222 0.02632 7.634 0.185
2457688.88606 14.125 0.02528 8.348 0.194
2456915.07467 14.245 0.02623 7.69 0.186
2456910.9462 14.192 0.02599 7.848 0.188
2456477.00874 14.217 0.02627 7.669 0.185
2457656.96824 14.241 0.02655 7.503 0.183
2457261.89555 14.094 0.02469 8.836 0.201
2457005.77576 14.081 0.02458 8.94 0.202
2456920.93344 14.245 0.02659 7.475 0.183
2456869.94653 14.185 0.02591 7.899 0.188
2456631.80095 14.103 0.02477 8.768 0.2
2457931.03968 14.08 0.02485 8.702 0.199
2457353.77463 14.262 0.02643 7.573 0.184
2457324.73163 14.144 0.02516 8.44 0.195
2457299.02387 14.219 0.02594 7.874 0.188
2457165.11335 14.253 0.02632 7.636 0.185
2457003.77936 14.269 0.02689 7.31 0.181
2457973.93514 14.016 0.02403 9.495 0.21
2457686.95534 14.192 0.02565 8.073 0.191
2457178.10136 14.087 0.02491 8.643 0.198
2457044.71198 14.097 0.02501 8.566 0.197
2457001.81266 14.102 0.02476 8.77 0.2
2456855.03476 14.144 0.02516 8.441 0.195
2456816.07234 14.089 0.02465 8.882 0.201
2458066.79938 14.141 0.02513 8.463 0.196
2457992.94145 14.193 0.026 7.837 0.187
2457982.99943 14.229 0.02605 7.804 0.187
2457919.05519 14.29 0.02676 7.374 0.182
2457767.71374 14.214 0.02589 7.914 0.188
2456983.81754 14.243 0.02621 7.703 0.186
2456813.0855 14.191 0.02564 8.085 0.191
2457667.99553 14.193 0.02566 8.068 0.19
2457364.83997 14.254 0.0267 7.41 0.182
2458073.76829 14.185 0.02558 8.126 0.191
2457704.7197 14.169 0.02541 8.244 0.193
2457366.7842 14.1 0.02504 8.542 0.197
2457299.02407 14.263 0.02681 7.35 0.181
2457272.97994 14.233 0.0261 7.776 0.187
2457707.85719 14.037 0.02446 9.055 0.204
2457243.98267 14.141 0.02513 8.46 0.196
2457212.10856 14.171 0.02576 8.0 0.19
2456882.99458 14.184 0.0259 7.905 0.188
2456507.00868 14.182 0.02588 7.917 0.188
2458449.73853 14.04 0.02449 9.027 0.203
2458072.75758 14.221 0.02596 7.862 0.188
2457031.73615 14.254 0.02634 7.623 0.185
2456973.82502 14.278 0.027 7.246 0.18
2456523.96108 14.109 0.02512 8.47 0.196
2458325.94094 14.223 0.02599 7.846 0.188
2458307.08174 14.131 0.02534 8.299 0.193
2458048.82 14.26 0.02678 7.374 0.182
2458019.99599 14.131 0.02504 8.541 0.197
2457386.72352 14.246 0.02661 7.465 0.183
2457369.78098 14.098 0.02502 8.559 0.197
2456481.95443 14.198 0.02605 7.806 0.187
2458029.91846 14.123 0.02526 8.364 0.194
2457589.9611 14.081 0.02486 8.691 0.199
2457576.10206 14.247 0.02626 7.679 0.185
2457354.71764 14.176 0.02581 7.962 0.189
2456461.04332 14.055 0.02462 8.906 0.202
2458027.00724 14.022 0.02433 9.179 0.205
2457989.05573 14.178 0.0255 8.178 0.192
2457746.76466 14.177 0.02582 7.953 0.189
2457694.92935 14.087 0.02463 8.891 0.201
2457659.92057 14.129 0.02502 8.555 0.197
2457581.03295 14.09 0.02494 8.619 0.198
2457356.78287 14.192 0.02565 8.076 0.191
2457316.87854 14.183 0.02556 8.138 0.191
2457036.72396 14.259 0.02639 7.589 0.184
2458116.75703 14.187 0.0256 8.115 0.191
2457359.79064 14.169 0.02541 8.25 0.193
2457023.77339 14.27 0.0269 7.301 0.181
2456820.07821 14.259 0.02676 7.377 0.182
2456788.11859 14.182 0.02588 7.916 0.188
2458362.05144 14.061 0.0244 9.107 0.204
2458059.72653 14.108 0.02511 8.479 0.196
2457735.8204 14.17 0.02575 8.01 0.19
2457654.01935 14.221 0.02631 7.639 0.185
2456970.90999 14.256 0.02636 7.614 0.185
2456891.97637 14.233 0.0261 7.774 0.187
2456798.10772 14.124 0.02527 8.352 0.194
2456658.74659 14.085 0.02489 8.662 0.198
2458377.79556 14.236 0.02649 7.534 0.184
2458310.09109 14.196 0.02603 7.818 0.187
2458059.7265 14.108 0.02482 8.723 0.199
2457964.93866 14.137 0.0254 8.252 0.193
2457737.76966 14.189 0.02595 7.871 0.188
2457694.92937 14.084 0.02488 8.671 0.199
2457654.0191 14.256 0.02636 7.616 0.185
2457390.75898 14.12 0.02493 8.632 0.198
2457372.80934 14.196 0.02569 8.048 0.19
2457364.84015 14.27 0.02652 7.518 0.183
2457230.96063 14.195 0.02602 7.826 0.187
2457034.7263 14.109 0.02483 8.72 0.199
2456904.88961 14.23 0.02642 7.58 0.184
2456899.95902 14.12 0.02523 8.383 0.195
2458428.84927 14.155 0.02559 8.117 0.191
2458060.74525 14.199 0.02573 8.019 0.19
2457939.01717 14.19 0.02563 8.089 0.191
2457701.76634 14.238 0.02615 7.738 0.186
2457701.76633 14.238 0.02651 7.52 0.183
2456918.06981 14.081 0.02486 8.688 0.199
2456900.95827 14.21 0.02584 7.94 0.189
2456808.09428 14.143 0.02515 8.444 0.195
2456631.80079 14.095 0.02499 8.58 0.197
2457247.05852 14.102 0.02476 8.77 0.2
2456924.93234 14.115 0.02518 8.423 0.195
2456874.91419 14.25 0.02665 7.441 0.182
2456521.90518 14.145 0.02548 8.191 0.192
2457979.06608 14.234 0.02646 7.548 0.184
2457973.93549 14.041 0.0245 9.021 0.203
2457001.81247 14.092 0.02496 8.604 0.198
2456889.96361 14.105 0.02508 8.503 0.196
2458060.74527 14.174 0.02579 7.976 0.189
2458009.01495 14.26 0.02678 7.374 0.182
2457587.06986 14.054 0.02434 9.165 0.205
2457181.09863 14.233 0.02645 7.555 0.184
2456971.84463 14.04 0.02449 9.028 0.203
2457669.89554 14.204 0.02578 7.984 0.189
2457384.77628 14.15 0.02522 8.395 0.195
2457362.77921 14.268 0.0265 7.525 0.183
2456888.97029 14.115 0.02488 8.67 0.198
2458318.98955 14.191 0.02564 8.084 0.191
2457982.99978 14.22 0.0263 7.645 0.185
2457905.1036 14.279 0.02701 7.242 0.18
2457316.87864 14.126 0.02529 8.337 0.194
2457298.00193 14.222 0.02632 7.635 0.185
2456986.80454 14.12 0.02493 8.628 0.198
2456452.06076 14.115 0.02518 8.427 0.195
