ASASSN-V J000951.41+322650.7
HJD MAG MAG_ERR FLUX FLUX_ERR
2458307.08148 16.419 0.109 1.039 0.104
2458070.78885 16.785 0.13712 0.715 0.09
2457980.98146 16.313 0.10186 1.145 0.107
2457905.1036 16.786 0.13719 0.714 0.09
2457196.07267 16.624 0.12323 0.859 0.097
2456999.78434 17.869 0.17628 0.273 0.044
2456904.88951 17.129 0.15656 0.54 0.078
2457707.85719 16.221 0.09837 1.202 0.109
2458449.73746 16.961 0.14625 0.63 0.085
2458325.94106 16.239 0.097 1.225 0.109
2457944.9872 16.48 0.1132 0.982 0.102
2457036.72364 16.633 0.12659 0.823 0.096
2456973.8252 16.793 0.135 0.735 0.091
2456971.84463 16.617 0.12547 0.835 0.096
2456920.04992 16.414 0.11134 1.006 0.103
2458442.76889 16.71 99.99 0.226 0.159
2458344.00913 16.848 0.14138 0.675 0.088
2457982.99978 16.873 0.14305 0.659 0.087
2457964.93866 16.75 0.13472 0.738 0.091
2457311.88399 16.545 0.12044 0.892 0.099
2456884.98577 16.758 0.13527 0.733 0.091
2458371.96586 16.821 0.13692 0.717 0.09
2458096.82621 16.843 0.13842 0.703 0.09
2457765.72787 16.515 99.99 0.78 0.19
2457362.77904 16.606 0.1247 0.843 0.097
2457243.98303 16.775 0.13644 0.722 0.091
2456867.11759 16.953 0.14574 0.635 0.085
2458338.95678 16.687 0.13036 0.782 0.094
2458017.98589 16.665 0.1261 0.828 0.096
2457704.71966 16.685 0.13022 0.784 0.094
2457386.72377 16.688 0.12771 0.81 0.095
2457172.10147 16.293 0.10312 1.125 0.107
2456884.9856 16.16 0.09196 1.318 0.112
2456827.06825 16.393 0.10723 1.063 0.105
2456788.11859 16.355 99.99 1.093 0.22
2458428.84927 16.63 0.12638 0.825 0.096
2458368.00785 17.126 0.15638 0.541 0.078
2458289.07581 16.814 0.13644 0.722 0.091
2458037.9698 16.855 0.14185 0.671 0.088
2458017.98592 16.96 0.14869 0.608 0.083
2457935.02491 16.828 0.14004 0.687 0.089
2457757.7368 16.461 0.11458 0.964 0.102
2457755.75751 16.926 0.14651 0.628 0.085
2457686.95541 16.644 0.12736 0.814 0.095
2457669.89576 16.671 0.12652 0.823 0.096
2457304.83433 16.584 0.12044 0.892 0.099
2457302.95357 16.486 0.11632 0.941 0.101
2457276.08648 16.807 0.13596 0.726 0.091
2456658.74659 16.81 0.13882 0.699 0.089
2456481.95443 16.909 0.14541 0.638 0.085
2456888.97046 17.001 0.14881 0.607 0.083
2456642.8029 16.601 99.99 0.516 0.176
2456539.09198 16.372 0.10846 1.046 0.104
2456464.0521 16.537 0.11988 0.898 0.099
2458380.78546 16.745 0.13168 0.769 0.093
2458377.79556 16.8 0.13814 0.705 0.09
2457973.93549 16.649 99.99 0.753 0.168
2457746.76466 16.646 0.1275 0.812 0.095
2458385.88038 16.016 0.08322 1.506 0.115
2457271.07579 16.559 0.12142 0.88 0.098
2457218.96201 16.644 0.12463 0.844 0.097
2458318.98965 16.429 0.10969 1.029 0.104
2458048.82 16.751 0.13479 0.738 0.092
2458027.00724 16.653 0.12799 0.808 0.095
2456822.06294 16.097 0.08807 1.397 0.113
2458022.00265 16.953 0.14824 0.612 0.083
2457969.93311 16.859 0.14212 0.668 0.087
2458063.90127 16.624 0.12596 0.829 0.096
2458037.96986 17.242 0.16266 0.487 0.073
2458310.09109 16.369 0.10825 1.049 0.104
2458073.76842 16.649 0.12498 0.84 0.097
2458071.78113 16.437 0.11024 1.022 0.104
2458416.93683 15.119 0.04367 3.439 0.138
2458344.00895 16.76 0.13272 0.759 0.093
2458061.73709 16.367 99.99 0.57 0.218
2458071.78095 16.644 0.12736 0.814 0.095
2458409.79941 16.595 99.99 0.871 0.177
2457701.7665 16.409 0.10832 1.048 0.104
2457735.8204 16.552 99.99 0.525 0.184
2457767.71366 16.412 0.10853 1.045 0.104
2457696.85236 16.568 0.11932 0.905 0.099
2457559.04157 16.279 0.09961 1.181 0.108
2457544.08264 16.498 0.11444 0.966 0.102
2458325.94129 16.398 99.99 0.747 0.212
2458066.79955 16.557 0.11855 0.914 0.1
2458027.00726 16.343 0.10386 1.113 0.106
2458330.04058 16.096 0.088 1.398 0.113
2457931.03968 16.72 0.13265 0.759 0.093
2458072.75772 16.703 0.12876 0.8 0.095
2457369.78098 16.44 0.11313 0.983 0.102
2457686.95553 16.552 0.1182 0.919 0.1
2457364.83997 16.719 0.13258 0.76 0.093
2457576.10211 16.909 0.14285 0.661 0.087
2457390.75869 16.72 0.13265 0.759 0.093
2457384.77602 16.841 0.14091 0.679 0.088
2457178.10111 16.417 0.10887 1.04 0.104
2456943.99694 17.523 0.17371 0.375 0.06
2456928.91443 16.249 0.09765 1.215 0.109
2456491.95578 16.89 99.99 0.643 0.135
2457569.02965 16.471 0.11258 0.99 0.103
2457354.71786 16.294 0.1006 1.165 0.108
2457353.77473 16.676 0.12687 0.819 0.096
2457299.02407 16.786 0.13719 0.715 0.09
2457165.11345 16.27 0.10159 1.149 0.107
2457290.9496 16.552 0.1182 0.919 0.1
2456971.84481 17.183 0.15957 0.514 0.075
2456920.93344 16.351 0.10703 1.067 0.105
2456915.07489 16.406 0.10812 1.051 0.105
2456891.97672 16.75 0.13472 0.739 0.092
2456816.07229 16.697 0.12834 0.804 0.095
2456471.02118 16.788 99.99 0.662 0.148
2457236.08088 16.81 0.13617 0.724 0.091
2457230.96063 16.633 0.12659 0.822 0.096
2457299.02409 16.485 0.11354 0.977 0.102
2457241.99223 16.881 0.14357 0.655 0.087
2457236.08109 16.454 99.99 0.768 0.201
2457241.99204 16.084 0.08728 1.414 0.114
2457333.92774 16.659 0.12841 0.803 0.095
2457298.00195 16.439 0.11037 1.019 0.103
2457206.03339 16.326 0.10272 1.131 0.107
2456924.93233 16.77 0.13341 0.752 0.092
2456909.94564 15.211 0.04657 3.16 0.135
2456464.05185 16.925 0.1439 0.652 0.086
2456797.1092 16.773 99.99 0.054 0.15
2457040.71085 16.688 0.12771 0.811 0.095
2456983.81745 16.839 0.14078 0.68 0.088
2457176.07924 16.794 0.13507 0.735 0.091
2457170.10786 16.542 0.12023 0.894 0.099
2457193.04759 16.588 0.12344 0.857 0.097
2456798.10751 18.189 99.99 0.067 0.041
2456913.95047 16.274 0.09928 1.186 0.108
2456939.86507 16.219 0.09824 1.205 0.109
2456900.95848 16.377 0.10615 1.08 0.105
2456820.07821 16.607 99.99 0.675 0.175
2456831.05134 16.524 0.11625 0.942 0.101
2456823.0614 16.756 0.13244 0.761 0.093
2456814.08069 16.719 0.12987 0.788 0.094
