ASASSN-V J000535.65+730605.3
HJD MAG MAG_ERR FLUX FLUX_ERR
2458022.83182 12.681 0.02 32.46 0.597
2457385.85776 12.701 0.02 31.868 0.586
2457368.79589 12.687 0.02 32.288 0.594
2458023.91494 12.668 0.02 32.855 0.605
2457737.74352 12.653 0.02 33.311 0.613
2457216.04371 12.797 0.02 29.193 0.537
2457604.04044 12.732 0.02 30.988 0.57
2457362.86361 12.717 0.02 31.412 0.578
2457686.84204 12.689 0.02 32.23 0.593
2457357.93227 12.732 0.02 30.969 0.57
2457673.7869 12.664 0.02 33.0 0.607
2458013.9891 12.649 0.02 33.435 0.615
2457639.89195 12.663 0.02 33.001 0.607
2457231.99439 12.634 0.02 33.921 0.624
2457428.72961 12.597 0.02 35.098 0.646
2457037.72045 12.677 0.02 32.578 0.599
2457940.0505 12.773 0.02 29.836 0.549
2457553.10503 12.6 0.02 34.978 0.644
2458076.81862 12.701 0.02 31.893 0.587
2458030.05492 12.704 0.02 31.795 0.585
2457386.80908 12.694 0.02 32.089 0.59
2457191.10298 12.794 0.02 29.25 0.538
2458067.99429 12.688 0.02 32.258 0.594
2457223.02124 12.747 0.02 30.549 0.562
2457694.01124 12.708 0.02 31.682 0.583
2457676.03029 12.664 0.02 32.985 0.607
2457046.73003 12.653 0.02 33.32 0.613
2457412.75182 12.705 0.02 31.753 0.584
2458010.90758 12.677 0.02 32.578 0.599
2457681.94021 12.663 0.02 33.028 0.608
2457272.03007 12.77 0.02 29.917 0.55
2457319.97267 12.684 0.02 32.397 0.596
2457309.85432 12.76 0.02 30.187 0.555
2458071.98215 12.72 0.02 31.337 0.577
2457333.90001 12.621 0.02 34.302 0.631
2457314.90501 12.794 0.02 29.275 0.539
2457689.95697 12.692 0.02 32.153 0.592
2457765.79128 12.7 0.02 31.905 0.587
2458017.941 12.673 0.02 32.719 0.602
2457560.08372 12.693 0.02 32.114 0.591
2457579.10648 12.748 0.02 30.522 0.562
2457399.80612 12.675 0.02 32.647 0.601
2457274.95255 12.763 0.02 30.102 0.554
2457204.06964 12.636 0.02 33.85 0.623
2457297.86445 12.687 0.02 32.28 0.594
2458075.96779 12.712 0.02 31.568 0.581
2457917.10116 12.708 0.02 31.686 0.583
2457262.92957 12.706 0.02 31.745 0.584
2457181.11616 12.721 0.02 31.307 0.576
2458019.90192 12.673 0.02 32.726 0.602
2457612.03717 12.755 0.02 30.323 0.558
2457636.93234 12.675 0.02 32.66 0.601
2457614.96337 12.753 0.02 30.379 0.559
2458065.99791 12.683 0.02 32.403 0.596
2458063.98764 12.651 0.02 33.391 0.614
2457327.92039 12.56 0.02 36.303 0.668
2457997.03061 12.683 0.02 32.398 0.596
2457974.97743 12.739 0.02 30.772 0.566
2458054.72619 12.612 0.02 34.615 0.637
2457766.72683 12.688 0.02 32.264 0.594
2457411.77482 12.727 0.02 31.134 0.573
2458097.84681 12.681 0.02 32.473 0.598
2457755.80133 12.815 0.02 28.711 0.528
2457652.8564 12.707 0.02 31.711 0.583
2457372.82507 12.631 0.02 33.991 0.625
2457238.00911 12.648 0.02 33.478 0.616
2457407.77129 12.734 0.02 30.919 0.569
2457270.10674 12.768 0.02 29.959 0.551
2457317.82615 12.748 0.02 30.518 0.562
2457929.08052 12.717 0.02 31.412 0.578
2457390.82884 12.719 0.02 31.367 0.577
2457045.72921 12.661 0.02 33.088 0.609
2458079.96225 12.691 0.02 32.186 0.592
2458070.97856 12.702 0.02 31.838 0.586
2457245.04508 12.657 0.02 33.206 0.611
2457600.02281 12.708 0.02 31.678 0.583
2457696.95721 12.695 0.02 32.063 0.59
2457423.7421 12.546 0.02 36.767 0.677
2457275.89717 12.729 0.02 31.076 0.572
2457984.05242 12.719 0.02 31.358 0.577
2457305.00656 12.739 0.02 30.792 0.567
2458055.74709 12.692 0.02 32.146 0.591
2457983.08014 12.718 0.02 31.384 0.577
2457670.92315 12.644 0.02 33.611 0.618
2457669.78154 12.65 0.02 33.405 0.615
2457618.99205 12.759 0.02 30.234 0.556
2457419.73311 12.581 0.02 35.618 0.655
2457758.74499 12.77 0.02 29.913 0.55
2457961.10382 12.693 0.02 32.127 0.591
2457715.74803 12.706 0.02 31.722 0.584
2457358.86423 12.726 0.02 31.168 0.573
2458056.7279 12.613 0.02 34.579 0.636
2457231.03702 12.646 0.02 33.534 0.617
2457211.05206 12.785 0.02 29.511 0.543
2457047.72309 12.636 0.02 33.839 0.623
2457414.762 12.665 0.02 32.963 0.607
