ASASSN-V J000123.70+490018.5
HJD MAG MAG_ERR FLUX FLUX_ERR
2457939.00971 14.16 0.02532 8.316 0.194
2458097.82735 14.12 0.02493 8.627 0.198
2458063.75177 14.106 0.0248 8.738 0.199
2458047.7945 14.144 0.02516 8.44 0.195
2458020.9374 14.179 0.02552 8.175 0.192
2458017.96261 14.121 0.02494 8.622 0.198
2457998.83657 14.147 0.02519 8.416 0.195
2457997.00564 14.044 0.02426 9.255 0.207
2457984.05839 14.114 0.02488 8.673 0.198
2457974.95322 14.105 0.02479 8.748 0.2
2457917.07824 14.094 0.02469 8.84 0.201
2457912.08446 14.101 0.02476 8.777 0.2
2457710.88369 14.152 0.02524 8.379 0.195
2457702.79641 14.14 0.02512 8.467 0.196
2457698.79371 14.188 0.02561 8.104 0.191
2457664.01253 14.238 0.02615 7.737 0.186
2457575.05123 14.185 0.02558 8.125 0.191
2457569.07502 14.066 0.02444 9.068 0.204
2457536.10959 14.121 0.02494 8.624 0.198
2457399.70947 14.106 0.0248 8.738 0.199
2457333.79268 14.115 0.02488 8.667 0.198
2457324.84183 14.134 0.02507 8.518 0.196
2457313.91653 14.145 0.02517 8.429 0.195
2457290.88039 14.226 0.02602 7.825 0.187
2457265.05192 14.146 0.02518 8.423 0.195
2457231.94579 14.271 0.02654 7.507 0.183
2457210.09116 14.544 0.03041 5.841 0.163
2457206.01696 14.592 0.03124 5.586 0.161
2457184.09892 14.471 0.02924 6.244 0.168
2457164.11376 14.195 0.02568 8.055 0.19
2457021.76316 14.129 0.02502 8.557 0.197
2458408.82664 14.132 0.02505 8.532 0.197
2458079.83696 14.079 0.02456 8.958 0.202
2458075.87986 14.16 0.02532 8.315 0.194
2458060.73329 14.092 0.02467 8.851 0.201
2458037.95046 14.071 0.02449 9.03 0.203
2458034.96779 14.146 0.02518 8.428 0.195
2458026.76958 14.192 0.02565 8.072 0.19
2458014.05625 14.091 0.02466 8.859 0.201
2457981.99921 14.09 0.02466 8.867 0.201
2457979.917 14.057 0.02437 9.147 0.205
2457979.08425 14.179 0.02552 8.168 0.192
2457966.98637 14.124 0.02497 8.596 0.197
2457671.73247 14.167 0.02539 8.26 0.193
2457667.98321 14.15 0.02522 8.391 0.195
2457653.02243 14.127 0.025 8.574 0.197
2457613.93584 14.185 0.02558 8.123 0.191
2457600.01305 14.186 0.02559 8.116 0.191
2457584.00534 14.149 0.02521 8.4 0.195
2457560.04548 14.11 0.02484 8.708 0.199
2457392.73752 14.163 0.02535 8.297 0.194
2457385.76188 14.195 0.02568 8.053 0.19
2457369.7899 14.124 0.02497 8.596 0.197
2457299.01215 14.333 0.0273 7.092 0.178
2457270.94426 14.209 0.02583 7.95 0.189
2457244.04741 14.295 0.02682 7.343 0.181
2457228.02642 14.206 0.0258 7.968 0.189
2457223.01343 14.336 0.02734 7.07 0.178
2457213.00434 14.359 0.02764 6.922 0.176
2457179.09423 14.234 0.02611 7.765 0.187
2457165.11025 14.129 0.02502 8.554 0.197
2458070.73484 14.101 0.02476 8.779 0.2
2458067.75076 14.102 0.02476 8.771 0.2
2458066.74912 14.082 0.02458 8.933 0.202
2458061.70604 14.09 0.02466 8.867 0.201
2458059.73373 14.076 0.02453 8.987 0.203
2458048.75897 14.128 0.02501 8.563 0.197
2458036.92102 14.152 0.02524 8.38 0.195
2458004.96328 14.061 0.0244 9.11 0.205
2457989.94957 14.104 0.02478 8.756 0.2
2457901.11262 14.09 0.02466 8.868 0.201
2457735.81316 14.137 0.02509 8.492 0.196
2457705.84246 14.119 0.02492 8.634 0.198
2457695.83305 14.158 0.0253 8.331 0.194
2457694.92124 14.12 0.02493 8.63 0.198
2457689.94305 14.149 0.02521 8.398 0.195
2457686.94721 14.139 0.02511 8.482 0.196
2457586.97068 14.073 0.0245 9.01 0.203
2457553.06611 14.13 0.02503 8.551 0.197
2457530.11207 14.133 0.02506 8.527 0.197
2457378.72921 14.197 0.0257 8.035 0.19
2457363.8329 14.119 0.02492 8.637 0.198
2457357.76736 14.09 0.02466 8.867 0.201
2457334.69355 14.18 0.02553 8.166 0.192
2457328.92899 14.194 0.02567 8.059 0.19
2457319.71792 14.181 0.02554 8.159 0.192
2457317.84428 14.249 0.02628 7.661 0.185
2457305.96247 14.166 0.02538 8.272 0.193
2457274.92087 14.211 0.02585 7.936 0.189
2457261.99084 14.2 0.02574 8.016 0.19
2457240.98259 14.628 0.03189 5.406 0.159
2457236.08283 14.243 0.02621 7.703 0.186
2457177.07622 14.32 0.02713 7.178 0.179
2457176.08243 14.086 0.02462 8.901 0.202
2457046.71087 14.236 0.02613 7.752 0.186
2457045.71314 14.253 0.02632 7.634 0.185
