id,star_id,hjd,camera,mag,mag_err,flux,flux_err,created_at,updated_at
00a4211d-e29c-591f-b681-738624f8224d,65f4e309-c4b2-569a-b734-06adb6d6c0c0,2458080.6006,be,17.598,99.99,-0.133,0.07,2019-04-16 17:19:28 UTC,2019-04-16 17:19:28 UTC
00b4cf72-262b-5446-8e1e-8e8f438f7266,65f4e309-c4b2-569a-b734-06adb6d6c0c0,2456810.85916,bf,14.468,0.0292,6.263,0.168,2019-04-16 17:19:28 UTC,2019-04-16 17:19:28 UTC
00cd6066-14a1-5fe8-aef5-8cca1c880be8,65f4e309-c4b2-569a-b734-06adb6d6c0c0,2457051.55658,bf,14.877,0.03714,4.295,0.147,2019-04-16 17:19:34 UTC,2019-04-16 17:19:34 UTC
010e5d2c-ff77-5f36-8f87-7f4e006113a3,65f4e309-c4b2-569a-b734-06adb6d6c0c0,2457681.78713,bf,15.139,0.04428,3.376,0.138,2019-04-16 17:19:12 UTC,2019-04-16 17:19:12 UTC
013fa66d-0bef-5f95-95b5-c1534362184b,65f4e309-c4b2-569a-b734-06adb6d6c0c0,2457768.56355,bf,14.891,0.03748,4.24,0.146,2019-04-16 17:19:10 UTC,2019-04-16 17:19:10 UTC
028388fe-a014-5574-9d7a-d515204c923a,65f4e309-c4b2-569a-b734-06adb6d6c0c0,2457306.82804,bf,15.167,0.04515,3.291,0.137,2019-04-16 17:19:32 UTC,2019-04-16 17:19:32 UTC
02fe8f62-9b11-5b53-b6aa-af1c076c641a,65f4e309-c4b2-569a-b734-06adb6d6c0c0,2457292.71528,bf,15.237,0.04743,3.085,0.135,2019-04-16 17:19:27 UTC,2019-04-16 17:19:27 UTC
03081cc0-2b3e-58d2-adde-1443019dad5f,65f4e309-c4b2-569a-b734-06adb6d6c0c0,2457184.83724,bf,14.868,0.03693,4.331,0.147,2019-04-16 17:19:05 UTC,2019-04-16 17:19:05 UTC
03383005-f828-5beb-a1f0-6c3d1f538373,65f4e309-c4b2-569a-b734-06adb6d6c0c0,2457264.62236,bf,15.228,0.04713,3.111,0.135,2019-04-16 17:19:17 UTC,2019-04-16 17:19:17 UTC
0465ad97-57b3-5444-852f-f9b9a615b318,65f4e309-c4b2-569a-b734-06adb6d6c0c0,2458004.78053,bf,14.687,0.03301,5.12,0.155,2019-04-16 17:19:21 UTC,2019-04-16 17:19:21 UTC
04e4923d-5263-5389-bf91-aef2b206d063,65f4e309-c4b2-569a-b734-06adb6d6c0c0,2457045.52721,be,16.801,99.99,-0.044,0.146,2019-04-16 17:19:20 UTC,2019-04-16 17:19:20 UTC
05728e4e-b3de-5853-8bb0-93bd9d6b364d,65f4e309-c4b2-569a-b734-06adb6d6c0c0,2457267.74825,be,17.005,99.99,-0.026,0.121,2019-04-16 17:18:57 UTC,2019-04-16 17:18:57 UTC
