id,star_id,hjd,camera,mag,mag_err,flux,flux_err,created_at,updated_at
002ca531-020d-522c-bc68-bd5fc3403d01,5cc223ed-e78d-50c2-bf25-21e7ddd19499,2457008.55363,bf,12.98,0.02,33.295,0.613,2019-04-16 16:27:28 UTC,2019-04-16 16:27:28 UTC
00d18545-4f10-5116-b888-361444de372c,5cc223ed-e78d-50c2-bf25-21e7ddd19499,2456886.75047,bf,10.551,0.02,311.962,5.74,2019-04-16 16:27:30 UTC,2019-04-16 16:27:30 UTC
0198c1e8-fd68-532e-b8a8-c8bbf84eac86,5cc223ed-e78d-50c2-bf25-21e7ddd19499,2457291.82106,bh,11.702,0.02,80.021,1.472,2019-04-16 16:27:34 UTC,2019-04-16 16:27:34 UTC
01b905b5-125e-5e4b-96be-957a22d07d95,5cc223ed-e78d-50c2-bf25-21e7ddd19499,2456844.82559,bf,13.922,0.02198,13.988,0.283,2019-04-16 16:27:30 UTC,2019-04-16 16:27:30 UTC
02ad47f7-cc46-5dc3-ae33-d8318e396bd3,5cc223ed-e78d-50c2-bf25-21e7ddd19499,2457688.58049,bh,12.813,0.02,28.742,0.529,2019-04-16 16:27:30 UTC,2019-04-16 16:27:30 UTC
03ae8d7e-7571-5cbc-9239-2e4a9f8fc9c2,5cc223ed-e78d-50c2-bf25-21e7ddd19499,2458076.61184,bh,13.787,0.02261,11.724,0.244,2019-04-16 16:27:18 UTC,2019-04-16 16:27:18 UTC
063e3fbf-1bd3-5d8d-87fb-d9f9929476e2,5cc223ed-e78d-50c2-bf25-21e7ddd19499,2456805.88399,bf,13.784,0.02185,15.885,0.319,2019-04-16 16:27:28 UTC,2019-04-16 16:27:28 UTC
065087ec-6e13-57de-b108-bc09cb779e77,5cc223ed-e78d-50c2-bf25-21e7ddd19499,2457304.64814,bh,10.865,0.02,172.974,3.183,2019-04-16 16:27:43 UTC,2019-04-16 16:27:43 UTC
06fa4dec-4cb1-5d85-aa60-933c411a5d46,5cc223ed-e78d-50c2-bf25-21e7ddd19499,2457660.64813,bh,13.41,0.02187,16.592,0.334,2019-04-16 16:27:28 UTC,2019-04-16 16:27:28 UTC
07416576-6e54-5618-94c1-9e43a06d1017,5cc223ed-e78d-50c2-bf25-21e7ddd19499,2457311.75063,bh,10.798,0.02,183.977,3.385,2019-04-16 16:27:23 UTC,2019-04-16 16:27:23 UTC
09190b97-0430-5edb-bcab-9c445c081dcb,5cc223ed-e78d-50c2-bf25-21e7ddd19499,2458068.62322,bh,14.178,0.0255,8.177,0.192,2019-04-16 16:27:24 UTC,2019-04-16 16:27:24 UTC
095befc3-2198-55f4-9b91-85e5df9bd271,5cc223ed-e78d-50c2-bf25-21e7ddd19499,2457184.92463,bf,14.914,0.03117,5.608,0.161,2019-04-16 16:27:28 UTC,2019-04-16 16:27:28 UTC
0b3ddd2c-f6ba-5eed-bad7-da9ea861ac55,5cc223ed-e78d-50c2-bf25-21e7ddd19499,2456873.69205,bf,10.762,0.02,257.096,4.731,2019-04-16 16:27:23 UTC,2019-04-16 16:27:23 UTC
0bc203ef-2a39-5301-8ce3-23e0e982a357,5cc223ed-e78d-50c2-bf25-21e7ddd19499,2457667.77605,bh,13.32,0.022,18.024,0.365,2019-04-16 16:27:27 UTC,2019-04-16 16:27:27 UTC
0cf405b3-1587-5fe6-81e1-562c8a8b49e8,5cc223ed-e78d-50c2-bf25-21e7ddd19499,2457282.82434,bh,12.813,0.02,28.765,0.529,2019-04-16 16:27:24 UTC,2019-04-16 16:27:24 UTC
0d483dc4-2f63-5462-b6cf-1dfdf2ad74db,5cc223ed-e78d-50c2-bf25-21e7ddd19499,2457980.7972,bh,14.464,0.02914,6.288,0.169,2019-04-16 16:27:28 UTC,2019-04-16 16:27:28 UTC
0d973b5f-1863-545e-a32c-860215cfe21c,5cc223ed-e78d-50c2-bf25-21e7ddd19499,2457384.58381,bh,12.236,0.02,48.929,0.9,2019-04-16 16:27:23 UTC,2019-04-16 16:27:23 UTC
0d991e95-81bd-5abe-86aa-1d95a45d9c47,5cc223ed-e78d-50c2-bf25-21e7ddd19499,2456904.72675,bf,10.68,0.02,276.877,5.095,2019-04-16 16:27:32 UTC,2019-04-16 16:27:32 UTC
0ef1f6b3-b7fe-5ce0-9129-b722d220fcf0,5cc223ed-e78d-50c2-bf25-21e7ddd19499,2458382.57516,bh,13.899,0.02321,10.577,0.226,2019-04-16 16:27:28 UTC,2019-04-16 16:27:28 UTC
0f39342f-46e4-55ff-9834-ef2199debc65,5cc223ed-e78d-50c2-bf25-21e7ddd19499,2458377.66728,bh,14.221,0.02596,7.864,0.188,2019-04-16 16:27:28 UTC,2019-04-16 16:27:28 UTC
0f414f66-9b5f-5eac-b18c-ea9f7e26931a,5cc223ed-e78d-50c2-bf25-21e7ddd19499,2457270.74017,bf,14.061,0.02238,12.301,0.253,2019-04-16 16:27:47 UTC,2019-04-16 16:27:47 UTC
0f989535-477f-58e9-acfd-85608ac19956,5cc223ed-e78d-50c2-bf25-21e7ddd19499,2456890.74162,bf,10.577,0.02,304.476,5.602,2019-04-16 16:27:20 UTC,2019-04-16 16:27:20 UTC
