id,star_id,hjd,camera,mag,mag_err,flux,flux_err,created_at,updated_at
024a0111-a6c8-538d-9915-b757cd014a64,1d72cad8-8759-55dc-b6a2-ae0e2cff25e8,2457229.96406,bb,11.2,0.02,127.087,2.338,2019-04-16 17:41:32 UTC,2019-04-16 17:41:32 UTC
07604378-6de6-5b15-af42-455913ef57ec,1d72cad8-8759-55dc-b6a2-ae0e2cff25e8,2457372.8164,bb,11.227,0.02,123.937,2.28,2019-04-16 17:41:59 UTC,2019-04-16 17:41:59 UTC
09364327-64de-5b92-8885-8eea52ac8dc0,1d72cad8-8759-55dc-b6a2-ae0e2cff25e8,2457272.89345,bb,11.204,0.02,126.555,2.329,2019-04-16 17:41:26 UTC,2019-04-16 17:41:26 UTC
0af2bc49-40fa-5430-bbaa-2b66dfb06a1b,1d72cad8-8759-55dc-b6a2-ae0e2cff25e8,2458295.02815,bb,11.207,0.02,126.269,2.323,2019-04-16 17:42:26 UTC,2019-04-16 17:42:26 UTC
0b4fa926-985d-547c-8a31-3907b921985d,1d72cad8-8759-55dc-b6a2-ae0e2cff25e8,2456971.9157,bb,11.189,0.02,128.311,2.361,2019-04-16 17:41:23 UTC,2019-04-16 17:41:23 UTC
0bfa16b2-746a-545a-a59d-a0086180f3ff,1d72cad8-8759-55dc-b6a2-ae0e2cff25e8,2457989.07805,bb,11.213,0.02,125.485,2.309,2019-04-16 17:42:25 UTC,2019-04-16 17:42:25 UTC
0c6caf86-261b-570e-9920-18d1dc58bdbf,1d72cad8-8759-55dc-b6a2-ae0e2cff25e8,2456913.97203,bb,11.176,0.02,129.929,2.391,2019-04-16 17:42:30 UTC,2019-04-16 17:42:30 UTC
0ed03b1d-b296-5e8f-bab9-6acd26691bdf,1d72cad8-8759-55dc-b6a2-ae0e2cff25e8,2458344.9599,bb,11.203,0.02,126.684,2.331,2019-04-16 17:41:32 UTC,2019-04-16 17:41:32 UTC
102cab5b-0866-5f4d-a8b6-83391aedaf76,1d72cad8-8759-55dc-b6a2-ae0e2cff25e8,2457255.90704,bb,11.181,0.02,129.288,2.379,2019-04-16 17:41:23 UTC,2019-04-16 17:41:23 UTC
12b08bfc-9740-5553-93d2-c1792985e37a,1d72cad8-8759-55dc-b6a2-ae0e2cff25e8,2457756.75147,bb,11.17,0.02,130.615,2.403,2019-04-16 17:41:53 UTC,2019-04-16 17:41:53 UTC
144460ad-c700-5e07-87d6-38e21006e509,1d72cad8-8759-55dc-b6a2-ae0e2cff25e8,2457703.71608,bb,11.213,0.02,125.493,2.309,2019-04-16 17:42:30 UTC,2019-04-16 17:42:30 UTC
15d63663-0b7a-5c4c-ba6d-f0a18694329f,1d72cad8-8759-55dc-b6a2-ae0e2cff25e8,2457242.95782,bb,11.177,0.02,129.778,2.388,2019-04-16 17:41:23 UTC,2019-04-16 17:41:23 UTC
175fcd39-1932-5a0c-918a-54f389e789d1,1d72cad8-8759-55dc-b6a2-ae0e2cff25e8,2457905.09223,bb,11.231,0.02,123.481,2.272,2019-04-16 17:42:30 UTC,2019-04-16 17:42:30 UTC
18f31725-97b5-5389-9e67-6b9332816922,1d72cad8-8759-55dc-b6a2-ae0e2cff25e8,2458010.98409,bb,11.21,0.02,125.848,2.316,2019-04-16 17:41:59 UTC,2019-04-16 17:41:59 UTC
1eae1882-b182-5503-a56e-30623f7b78ff,1d72cad8-8759-55dc-b6a2-ae0e2cff25e8,2456487.97398,bb,11.142,0.02,133.979,2.465,2019-04-16 17:42:21 UTC,2019-04-16 17:42:21 UTC
1ef40b5b-3c3a-524b-9f71-00845d28c11a,1d72cad8-8759-55dc-b6a2-ae0e2cff25e8,2457678.94795,bb,11.165,0.02,131.199,2.414,2019-04-16 17:41:57 UTC,2019-04-16 17:41:57 UTC
1f69ae7d-1c8a-5290-b73f-090504549d5a,1d72cad8-8759-55dc-b6a2-ae0e2cff25e8,2457359.79413,bb,11.198,0.02,127.291,2.342,2019-04-16 17:42:25 UTC,2019-04-16 17:42:25 UTC
2084c580-4343-509d-b112-f4104f9ac886,1d72cad8-8759-55dc-b6a2-ae0e2cff25e8,2457207.0879,bb,11.232,0.02,123.291,2.269,2019-04-16 17:42:22 UTC,2019-04-16 17:42:22 UTC
21e920fb-b98d-510e-8cb2-9e7a7bc17971,1d72cad8-8759-55dc-b6a2-ae0e2cff25e8,2458321.9508,bb,11.193,0.02,127.81,2.352,2019-04-16 17:41:32 UTC,2019-04-16 17:41:32 UTC
259ff2a2-c51b-570b-975e-efbbcb689cfd,1d72cad8-8759-55dc-b6a2-ae0e2cff25e8,2456860.03245,bb,11.182,0.02,129.162,2.377,2019-04-16 17:42:26 UTC,2019-04-16 17:42:26 UTC
25dbca60-00ea-5f30-a902-4f9c9600361c,1d72cad8-8759-55dc-b6a2-ae0e2cff25e8,2457344.88299,bb,11.329,0.02,112.768,2.075,2019-04-16 17:42:21 UTC,2019-04-16 17:42:21 UTC
29d3609a-6ffb-5ea9-8e44-c85dca87af84,1d72cad8-8759-55dc-b6a2-ae0e2cff25e8,2457553.05532,bb,11.237,0.02,122.743,2.258,2019-04-16 17:41:42 UTC,2019-04-16 17:41:42 UTC
2cbcaee1-e242-5ec3-9a27-22d1e02be0e9,1d72cad8-8759-55dc-b6a2-ae0e2cff25e8,2457639.91878,bb,11.204,0.02,126.575,2.329,2019-04-16 17:41:24 UTC,2019-04-16 17:41:24 UTC
2ced1e63-63ec-5dd2-90b5-1b50e8bbf58d,1d72cad8-8759-55dc-b6a2-ae0e2cff25e8,2456563.00827,bb,11.165,0.02,131.139,2.413,2019-04-16 17:41:58 UTC,2019-04-16 17:41:58 UTC
