id,star_id,hjd,camera,mag,mag_err,flux,flux_err,created_at,updated_at
00467d5b-2c54-5003-978b-e7159502724c,64dd591e-2969-5c1e-8220-3e3b33afd462,2456828.84141,be,13.203,0.02237,20.082,0.413,2019-09-30 17:02:47 UTC,2019-09-30 17:02:47 UTC
012f79ad-5960-54e6-8c69-27b9393a3b59,64dd591e-2969-5c1e-8220-3e3b33afd462,2457956.80215,be,12.833,0.02,28.238,0.52,2019-09-30 17:02:43 UTC,2019-09-30 17:02:43 UTC
018a328c-4c10-5c8c-969e-09b5b541ef9e,64dd591e-2969-5c1e-8220-3e3b33afd462,2457384.58382,be,11.376,0.02,108.036,1.988,2019-09-30 17:02:40 UTC,2019-09-30 17:02:40 UTC
01a6fbf8-34eb-5a20-9d10-5de2205da753,64dd591e-2969-5c1e-8220-3e3b33afd462,2457560.7992,be,12.935,0.02,25.707,0.473,2019-09-30 17:02:40 UTC,2019-09-30 17:02:40 UTC
01df4b9d-b2a4-5752-9642-17ba1a19e89b,64dd591e-2969-5c1e-8220-3e3b33afd462,2457394.55251,be,11.473,0.02,98.77,1.817,2019-09-30 17:02:40 UTC,2019-09-30 17:02:40 UTC
027dfac2-d5b3-540e-8e5a-92e393fff173,64dd591e-2969-5c1e-8220-3e3b33afd462,2458111.56923,be,13.619,0.02203,13.69,0.277,2019-09-30 17:02:35 UTC,2019-09-30 17:02:35 UTC
03f73cbb-3a53-5754-bdab-2e6c46cb0adf,64dd591e-2969-5c1e-8220-3e3b33afd462,2457278.63243,be,12.181,0.02,51.474,0.947,2019-09-30 17:02:44 UTC,2019-09-30 17:02:44 UTC
0409210d-9405-56cd-94b1-c2d698a13753,64dd591e-2969-5c1e-8220-3e3b33afd462,2457401.53532,be,11.614,0.02,86.756,1.596,2019-09-30 17:02:47 UTC,2019-09-30 17:02:47 UTC
0436691d-a5cd-543f-a009-422408b38548,64dd591e-2969-5c1e-8220-3e3b33afd462,2457641.61189,be,11.485,0.02,97.749,1.799,2019-09-30 17:02:45 UTC,2019-09-30 17:02:45 UTC
0452f4ef-596e-5a9e-a022-e8216a91ce69,64dd591e-2969-5c1e-8220-3e3b33afd462,2457233.70509,be,11.9,0.02,66.695,1.227,2019-09-30 17:02:44 UTC,2019-09-30 17:02:44 UTC
06381401-a23c-590b-9926-a291ee64d6a5,64dd591e-2969-5c1e-8220-3e3b33afd462,2457712.68305,be,13.719,0.02232,12.477,0.256,2019-09-30 17:02:43 UTC,2019-09-30 17:02:43 UTC
0775831a-e37e-5533-a491-5a936b8a9da5,64dd591e-2969-5c1e-8220-3e3b33afd462,2457154.89992,be,12.43,0.02,40.921,0.753,2019-09-30 17:02:44 UTC,2019-09-30 17:02:44 UTC
079a5773-82ae-5f77-90fa-cfa1dfdf5398,64dd591e-2969-5c1e-8220-3e3b33afd462,2458240.92343,be,13.804,0.02269,11.538,0.241,2019-09-30 17:02:51 UTC,2019-09-30 17:02:51 UTC
07c9c020-6c99-577d-a79c-a87b7aa6e586,64dd591e-2969-5c1e-8220-3e3b33afd462,2457389.54509,be,11.38,0.02,107.578,1.979,2019-09-30 17:02:46 UTC,2019-09-30 17:02:46 UTC
0854945d-a686-5278-ac01-730aea197d71,64dd591e-2969-5c1e-8220-3e3b33afd462,2458052.57788,be,11.864,0.02,68.94,1.268,2019-09-30 17:02:46 UTC,2019-09-30 17:02:46 UTC
08ab9de8-618b-5a3a-b46e-bbce34ca5198,64dd591e-2969-5c1e-8220-3e3b33afd462,2458121.57209,be,13.292,0.02207,18.497,0.376,2019-09-30 17:02:48 UTC,2019-09-30 17:02:48 UTC
0adf8d3a-c6b2-5996-88a3-11aee0eb6430,64dd591e-2969-5c1e-8220-3e3b33afd462,2457347.61582,be,12.553,0.02,36.524,0.672,2019-09-30 17:02:46 UTC,2019-09-30 17:02:46 UTC
0b1ca095-ee65-5f2d-8d0a-bceb457f04a0,64dd591e-2969-5c1e-8220-3e3b33afd462,2457336.66087,be,13.138,0.02268,21.325,0.445,2019-09-30 17:02:35 UTC,2019-09-30 17:02:35 UTC
0b492295-84af-59bb-9907-998ca9b525d1,64dd591e-2969-5c1e-8220-3e3b33afd462,2457911.83475,be,11.446,0.02,101.279,1.864,2019-09-30 17:02:44 UTC,2019-09-30 17:02:44 UTC
0c224e29-e6e1-5889-b22d-ae4fc9e85d44,64dd591e-2969-5c1e-8220-3e3b33afd462,2457935.82892,be,11.749,0.02,76.649,1.41,2019-09-30 17:02:47 UTC,2019-09-30 17:02:47 UTC
0cdaff23-d03d-5c57-a6ed-fcca90752ab2,64dd591e-2969-5c1e-8220-3e3b33afd462,2457386.55659,be,11.334,0.02,112.269,2.066,2019-09-30 17:02:50 UTC,2019-09-30 17:02:50 UTC
0d87ce7e-0ce4-5c73-a6df-4aa504f2f8fc,64dd591e-2969-5c1e-8220-3e3b33afd462,2457557.80628,be,12.785,0.02,29.517,0.543,2019-09-30 17:02:47 UTC,2019-09-30 17:02:47 UTC
0dfd1f27-0b79-53c9-92b3-0b85c630693d,64dd591e-2969-5c1e-8220-3e3b33afd462,2457181.82957,be,13.751,0.02245,12.122,0.25,2019-09-30 17:02:50 UTC,2019-09-30 17:02:50 UTC
14cfe621-220c-56db-b891-28daf8ad2d50,64dd591e-2969-5c1e-8220-3e3b33afd462,2457915.83217,be,11.411,0.02,104.577,1.924,2019-09-30 17:02:44 UTC,2019-09-30 17:02:44 UTC
1664d024-c9a2-5a9c-8f5f-a04327e07872,64dd591e-2969-5c1e-8220-3e3b33afd462,2457874.91999,be,12.708,0.02,31.674,0.583,2019-09-30 17:02:42 UTC,2019-09-30 17:02:42 UTC
169aa5c0-2d11-5942-876d-93c8f6502492,64dd591e-2969-5c1e-8220-3e3b33afd462,2458339.68973,be,12.455,0.02,40.002,0.736,2019-09-30 17:02:41 UTC,2019-09-30 17:02:41 UTC
19bea036-079c-538d-bb2b-3bae24a41e8f,64dd591e-2969-5c1e-8220-3e3b33afd462,2458034.65886,be,11.961,0.02,63.048,1.16,2019-09-30 17:02:47 UTC,2019-09-30 17:02:47 UTC
19dea7f6-3215-5377-ba84-50e5ac3b170b,64dd591e-2969-5c1e-8220-3e3b33afd462,2457317.53875,be,13.656,0.02212,13.234,0.269,2019-09-30 17:02:46 UTC,2019-09-30 17:02:46 UTC
1b025fe5-5777-5fb7-9c57-f815df5df1e0,64dd591e-2969-5c1e-8220-3e3b33afd462,2456876.66046,be,12.456,0.02,39.938,0.735,2019-09-30 17:02:44 UTC,2019-09-30 17:02:44 UTC
1d336378-e1b4-59ae-8078-2a3db836dfb3,64dd591e-2969-5c1e-8220-3e3b33afd462,2457175.84387,be,13.57,0.02193,14.314,0.289,2019-09-30 17:02:46 UTC,2019-09-30 17:02:46 UTC
1d372f68-2ff4-5b81-9a66-008023a01996,64dd591e-2969-5c1e-8220-3e3b33afd462,2458014.76814,be,12.919,0.02,26.087,0.48,2019-09-30 17:02:40 UTC,2019-09-30 17:02:40 UTC
1d3cf163-3c1c-59ad-bd3e-2c6a3dc810ee,64dd591e-2969-5c1e-8220-3e3b33afd462,2456903.72999,be,13.294,0.02206,18.46,0.375,2019-09-30 17:02:35 UTC,2019-09-30 17:02:35 UTC
1e7810eb-5167-590f-b99e-f92f3297b717,64dd591e-2969-5c1e-8220-3e3b33afd462,2457615.9186,be,12.653,0.02,33.33,0.613,2019-09-30 17:02:41 UTC,2019-09-30 17:02:41 UTC
