id,star_id,hjd,camera,mag,mag_err,flux,flux_err,created_at,updated_at
0014678a-927b-578f-be9d-44b185f5bc08,d7d51b64-40b2-5499-b9f0-ee8618d719d9,2456872.79689,bf,13.525,0.02188,14.925,0.3,2019-09-30 16:56:43 UTC,2019-09-30 16:56:43 UTC
010a9b5c-d5bc-5b4c-a2e0-587a2c6f5f98,d7d51b64-40b2-5499-b9f0-ee8618d719d9,2457293.71434,bf,10.284,0.02,295.41,5.436,2019-09-30 16:57:01 UTC,2019-09-30 16:57:01 UTC
0204579e-ac48-5b75-b7de-f02b419738e5,d7d51b64-40b2-5499-b9f0-ee8618d719d9,2457957.90528,bf,13.293,0.02206,18.483,0.375,2019-09-30 16:56:52 UTC,2019-09-30 16:56:52 UTC
029b0166-3ecd-5873-92e1-d3ed5c0eba2c,d7d51b64-40b2-5499-b9f0-ee8618d719d9,2457762.57199,bf,12.947,0.02,25.415,0.468,2019-09-30 16:56:57 UTC,2019-09-30 16:56:57 UTC
038c97ea-a973-586b-9380-773bfa9ff0c8,d7d51b64-40b2-5499-b9f0-ee8618d719d9,2456994.56843,bf,10.455,0.02,252.212,4.641,2019-09-30 16:56:56 UTC,2019-09-30 16:56:56 UTC
03aac88a-f068-5d5f-900e-0ed8ce5eb473,d7d51b64-40b2-5499-b9f0-ee8618d719d9,2457020.56659,bf,11.656,0.02,83.445,1.535,2019-09-30 16:56:50 UTC,2019-09-30 16:56:50 UTC
04f63022-f64a-5b06-8e88-ea69855db5e9,d7d51b64-40b2-5499-b9f0-ee8618d719d9,2456805.87567,bf,13.148,0.02263,21.125,0.44,2019-09-30 16:56:54 UTC,2019-09-30 16:56:54 UTC
0507ad70-87d8-50f7-b4d1-8c45380833d2,d7d51b64-40b2-5499-b9f0-ee8618d719d9,2457666.6211,bf,13.364,0.02192,17.305,0.349,2019-09-30 16:56:52 UTC,2019-09-30 16:56:52 UTC
06f88c7b-0eea-5fdf-a827-d490b7d5b972,d7d51b64-40b2-5499-b9f0-ee8618d719d9,2457189.82603,bf,12.737,0.02,30.846,0.568,2019-09-30 16:56:57 UTC,2019-09-30 16:56:57 UTC
07abc49d-6a04-58a6-8acc-834d2729a3a3,d7d51b64-40b2-5499-b9f0-ee8618d719d9,2457768.54744,bf,13.039,0.02331,23.356,0.501,2019-09-30 16:56:56 UTC,2019-09-30 16:56:56 UTC
083d360f-4338-574b-9767-c055a2167d1f,d7d51b64-40b2-5499-b9f0-ee8618d719d9,2458082.70716,bf,12.486,0.02,38.873,0.715,2019-09-30 16:56:56 UTC,2019-09-30 16:56:56 UTC
085e73b7-1cda-55e6-b6e8-1080f2d7c4f8,d7d51b64-40b2-5499-b9f0-ee8618d719d9,2458024.52927,bf,13.633,0.02206,13.509,0.274,2019-09-30 16:56:46 UTC,2019-09-30 16:56:46 UTC
